Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Clarksville Water Department,Bromodichloromethane,4.10 ppb,0.06 ppb,
Clarksville Water Department,Chloroform,12.7 ppb,0.4 ppb,
Clarksville Water Department,Chromium (hexavalent),0.0638 ppb,0.02 ppb,
Clarksville Water Department,Dibromochloromethane,0.799 ppb,0.1 ppb,
Clarksville Water Department,Haloacetic acids (HAA5)†,30.4 ppb,0.1 ppb,60 ppb
Clarksville Water Department,Haloacetic acids (HAA9)†,31.2 ppb,0.06 ppb,
Clarksville Water Department,Nitrate,0.378 ppm,0.14 ppm,10 ppm
Clarksville Water Department,"Radium, combined (-226 &amp; -228)",1.89 pCi/L,0.05 pCi/L,5 pCi/L
Clarksville Water Department,Total trihalomethanes (TTHMs)†,35.8 ppb,0.15 ppb,80 ppb
Clarksville Water Department,1-Butanol ,2.06 ppb,,
Clarksville Water Department,Chlorate,105.1 ppb,210 ppb,
Clarksville Water Department,Chromium (total),0.0250 ppb,,100 ppb
Clarksville Water Department,Manganese,2.34 ppb,100 ppb,
Clarksville Water Department,Strontium,0.108 ppb,"1,500 ppb",
Clarksville Water Department,Vanadium,0.225 ppb,21 ppb,
Clarksville Water Department,None,,,
Cumberland Heights Utility District,Chromium (hexavalent)*,0.116 ppb,0.02 ppb,
Cumberland Heights Utility District,Haloacetic acids (HAA5)†,28.1 ppb,0.1 ppb,60 ppb
Cumberland Heights Utility District,Haloacetic acids (HAA9)*†,47.1 ppb,0.06 ppb,
Cumberland Heights Utility District,Total trihalomethanes (TTHMs)†,43.8 ppb,0.15 ppb,80 ppb
Cumberland Heights Utility District,Chlorate*,9.25 ppb,210 ppb,
Cumberland Heights Utility District,Chromium (total)*,0.1000 ppb,,100 ppb
Cumberland Heights Utility District,Manganese*,0.291 ppb,100 ppb,
Cumberland Heights Utility District,Strontium*,0.102 ppb,"1,500 ppb",
Cumberland Heights Utility District,Vanadium*,0.213 ppb,21 ppb,
Cunningham East Mont Wat Trailer Pl,Bromodichloromethane,5.26 ppb,0.06 ppb,
Cunningham East Mont Wat Trailer Pl,Chloroform,22.2 ppb,0.4 ppb,
Cunningham East Mont Wat Trailer Pl,Dibromochloromethane,0.829 ppb,0.1 ppb,
Cunningham East Mont Wat Trailer Pl,Nitrate,0.616 ppm,0.14 ppm,10 ppm
