State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
TN,Clarksville,37010.0,Clarksville Water Department,215421,Bromodichloromethane,4.1,0.06,0,ppb,68.33333333333333
TN,Clarksville,37010.0,Clarksville Water Department,215421,Chloroform,12.7,0.4,0,ppb,31.749999999999996
TN,Clarksville,37010.0,Clarksville Water Department,215421,Chromium (hexavalent),0.0638,0.02,0,ppb,3.1899999999999995
TN,Clarksville,37010.0,Clarksville Water Department,215421,Dibromochloromethane,0.799,0.1,0,ppb,7.99
TN,Clarksville,37010.0,Clarksville Water Department,215421,Haloacetic acids (HAA5)†,30.4,0.1,60,ppb,303.99999999999994
TN,Clarksville,37010.0,Clarksville Water Department,215421,Haloacetic acids (HAA9)†,31.2,0.06,0,ppb,520.0
TN,Clarksville,37010.0,Clarksville Water Department,215421,Nitrate,0.378,0.14,10,ppm,2.6999999999999997
TN,Clarksville,37010.0,Clarksville Water Department,215421,Radium combined (-226 &amp; -228),1.89,0.05,5,pCi/L,37.8
TN,Clarksville,37010.0,Clarksville Water Department,215421,Total trihalomethanes (TTHMs)†,35.8,0.15,80,ppb,238.66666666666666
TN,Clarksville,37010.0,Clarksville Water Department,215421,Chlorate,105.1,210.0,0,ppb,0.5004761904761904
TN,Clarksville,37010.0,Clarksville Water Department,215421,Manganese,2.34,100.0,0,ppb,0.023399999999999997
TN,Clarksville,37010.0,Clarksville Water Department,215421,Strontium,0.108,1500.0,0,ppb,7.2e-05
TN,Clarksville,37010.0,Clarksville Water Department,215421,Vanadium,0.225,21.0,0,ppb,0.010714285714285714
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Chromium (hexavalent)*,0.116,0.02,0,ppb,5.8
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Haloacetic acids (HAA5)†,28.1,0.1,60,ppb,281.0
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Haloacetic acids (HAA9)*†,47.1,0.06,0,ppb,785.0
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Total trihalomethanes (TTHMs)†,43.8,0.15,80,ppb,292.0
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Chlorate*,9.25,210.0,0,ppb,0.04404761904761905
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Manganese*,0.291,100.0,0,ppb,0.00291
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Strontium*,0.102,1500.0,0,ppb,6.8e-05
TN,Clarksville,37010.0,Cumberland Heights Utility District,3339,Vanadium*,0.213,21.0,0,ppb,0.010142857142857143
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Bromodichloromethane,5.26,0.06,0,ppb,87.66666666666667
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Chloroform,22.2,0.4,0,ppb,55.49999999999999
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Dibromochloromethane,0.829,0.1,0,ppb,8.29
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Nitrate,0.616,0.14,10,ppm,4.3999999999999995
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Atrazine,0.0149,0.1,3,ppb,0.149
TN,Clarksville,37010.0,Cunningham East Mont Wat Trailer Pl,25,Carbon tetrachloride,0.0713,0.1,5,ppb,0.713
TN,Clarksville,37010.0,Cunningham Utility District,14625,Chromium (hexavalent),0.116,0.02,0,ppb,5.8
TN,Clarksville,37010.0,Cunningham Utility District,14625,Haloacetic acids (HAA5)†,31.8,0.1,60,ppb,318.0
TN,Clarksville,37010.0,Cunningham Utility District,14625,Haloacetic acids (HAA9)†,47.1,0.06,0,ppb,785.0
TN,Clarksville,37010.0,Cunningham Utility District,14625,Total trihalomethanes (TTHMs)†,52.1,0.15,80,ppb,347.33333333333337
TN,Clarksville,37010.0,Cunningham Utility District,14625,Chlorate,9.25,210.0,0,ppb,0.04404761904761905
TN,Clarksville,37010.0,Cunningham Utility District,14625,Manganese,0.291,100.0,0,ppb,0.00291
TN,Clarksville,37010.0,Cunningham Utility District,14625,Strontium,0.102,1500.0,0,ppb,6.8e-05
TN,Clarksville,37010.0,Cunningham Utility District,14625,Vanadium,0.213,21.0,0,ppb,0.010142857142857143
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Atrazine*,0.552,0.1,3,ppb,5.5200000000000005
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Bromodichloromethane*,2.43,0.06,0,ppb,40.50000000000001
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Chloroform*,4.74,0.4,0,ppb,11.85
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Chromium (hexavalent)*,0.489,0.02,0,ppb,24.45
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Dibromochloromethane*,0.756,0.1,0,ppb,7.56
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Haloacetic acids (HAA5)†,33.8,0.1,60,ppb,337.99999999999994
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Haloacetic acids (HAA9)†,36.1,0.06,0,ppb,601.6666666666667
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Nitrate*,5.01,0.14,10,ppm,35.78571428571428
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Radium combined (-226 &amp; -228)*,0.85,0.05,5,pCi/L,17.0
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Total trihalomethanes (TTHMs)†,42.6,0.15,80,ppb,284.0
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Manganese,0.27,100.0,0,ppb,0.0027
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Simazine*,0.0199,0.1,4,ppb,0.199
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Strontium*,0.255,1500.0,0,ppb,0.00017
TN,Greenbrier,37010.0,Greenbrier Water & Sewer Department,8521,Vanadium*,0.463,21.0,0,ppb,0.02204761904761905
TN,Woodlawn,37010.0,Woodlawn Utility District,10017,Haloacetic acids (HAA5)†,43.1,0.1,60,ppb,431.0
TN,Woodlawn,37010.0,Woodlawn Utility District,10017,Total trihalomethanes (TTHMs)†,56.3,0.15,80,ppb,375.3333333333333
TN,Carthage,37012.0,Cordell Hull Utility District,3004,Haloacetic acids (HAA5)†,47.5,0.1,60,ppb,475.0
TN,Carthage,37012.0,Cordell Hull Utility District,3004,Total trihalomethanes (TTHMs)†,60.9,0.15,80,ppb,406.0
TN,Lebanon,37012.0,Gladeville Utility District,19510,Chromium (hexavalent),0.0838,0.02,0,ppb,4.1899999999999995
TN,Lebanon,37012.0,Gladeville Utility District,19510,Haloacetic acids (HAA5)†,34.3,0.1,60,ppb,342.99999999999994
TN,Lebanon,37012.0,Gladeville Utility District,19510,Haloacetic acids (HAA9)†,42.1,0.06,0,ppb,701.6666666666667
TN,Lebanon,37012.0,Gladeville Utility District,19510,Nitrate,0.456,0.14,10,ppm,3.257142857142857
TN,Lebanon,37012.0,Gladeville Utility District,19510,Total trihalomethanes (TTHMs)†,36.4,0.15,80,ppb,242.66666666666666
TN,Lebanon,37012.0,Gladeville Utility District,19510,Chlorate,238.8,210.0,0,ppb,1.1371428571428572
