Utility name,City,People served,Zip
West Robertson Water Authority,Adams,"Population served: 5,422",37010
Clarksville Water Department,Clarksville,"Population served: 215,421",37010
Cumberland Heights Utility District,Clarksville,"Population served: 3,339",37010
Cunningham East Mont Wat Trailer Pl,Clarksville,Population served: 25,37010
Cunningham Utility District,Clarksville,"Population served: 14,625",37010
East Montgomery Utility District,Clarksville,"Population served: 16,812",37010
Greenbrier Water & Sewer Department,Greenbrier,"Population served: 8,521",37010
Springfield Water System,Springfield,"Population served: 40,516",37010
Woodlawn Utility District,Woodlawn,"Population served: 10,017",37010
Carthage Water System,Carthage,"Population served: 3,445",37012
Cordell Hull Utility District,Carthage,"Population served: 3,004",37012
Gladeville Utility District,Lebanon,"Population served: 19,510",37012
Laguardo Utility District,Lebanon,"Population served: 12,277",37012
Lebanon Water System,Lebanon,"Population served: 38,426",37012
Smith Utility District,South Carthage,"Population served: 7,964",37012
South Side Utility District #1,Gordonsville,"Population served: 3,958",37012
South Side Utility District #2,Gordonsville,Population served: 611,37012
South Side Utility District #3,Gordonsville,Population served: 181,37012
Twenty Five Utility District,Riddleton,"Population served: 1,826",37012
Watertown Water System,Watertown,"Population served: 1,916",37012
West Wilson Utility District,Mount Juliet,"Population served: 72,928",37012
Wilson County Water & Wastewater,Lebanon,"Population served: 21,354",37012
Harpeth Valley Utility District,Nashville,"Population served: 62,351",37013
Madison Suburban Utility District,Madison,"Population served: 76,754",37013
Nashville Water Department #1,Nashville,"Population served: 702,407",37013
Brentwood Water Department,Brentwood,"Population served: 29,513",37014
Consolidated Utility District of Rutherford,Murfreesboro,"Population served: 172,615",37014
Franklin Water Department,Franklin,"Population served: 52,781",37014
Gateway Village Water System,Brentwood,"Population served: 1,055",37014
H.B.& T.s. Utility District,Franklin,"Population served: 29,609",37014
La Vergne Water System,Lavergne,"Population served: 35,233",37014
Mallory Valley Utility Distric,Franklin,"Population served: 25,131",37014
Milcrofton Utility District,Franklin,"Population served: 26,003",37014
Murfreesboro Water Department,Murfreesboro,"Population served: 100,535",37014
Nolensville-college Grove UD,Nolensville,"Population served: 28,919",37014
Smyrna Water System,Smyrna,"Population served: 51,930",37014
Ashland City Water Department,Ashland City,"Population served: 8,030",37015
Pleasant View Utility District,Pleasant View,"Population served: 17,864",37015
River Road Utility District,Ashland City,"Population served: 3,669",37015
Second South Cheatham Utility District,Kingston Springs Tn,"Population served: 9,291",37015
Woodbury Water System,Woodbury,"Population served: 10,505",37016
Bedford County UD,Shelbyville,"Population served: 18,722",37018
Bell Buckle Water System,Bell Buckle,"Population served: 2,462",37018
Duck River Utility Commission,Tullahoma,Population served: 25,37018
Flat Creek Co-op #2,Shelbyville,Population served: 429,37018
Hillsville Utility District,Manchester,"Population served: 9,790",37018
Manchester Water Department,Manchester,"Population served: 19,933",37018
