State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
TX,73960,Stratford Municipal Water System,1950,467,48421
TX,73960,Texhoma City Municipal Water System,310,978,48421
TX,75001,City of Carrollton,127980,1233,48113
TX,75001,Dallas Water Utility,1286380,896,48113
TX,75002,City of Wylie,44418,1975,48085
TX,75002,City of Murphy,20361,2066,48085
TX,75006,City of Farmers Branch,31560,1814,48113
TX,75006,City of Coppell,41100,1309,48113
TX,75006,City of Irving,238829,1311,48113
TX,75007,Denton County Fresh Water Supply District 1-a Castle Hills,15741,3109,48121
TX,75009,City of Celina,18860,1172,48085
TX,75009,Mustang SUD,14724,1219,48085
TX,75009,Willow Wood Addition Meadow Vista,351,64,48085
TX,75009,City of McKinney,169710,2005,48085
TX,75009,North Collin Special Utility District,6855,1246,48085
TX,75009,Town of Prosper,22650,2038,48085
TX,75009,City of Anna,18297,1513,48085
TX,75009,City of Pilot Point,5047,195,48085
TX,75010,City of The Colony,41352,1374,48121
TX,75019,City of Grapevine,47851,1955,48113
TX,75019,Town of Flower Mound,64669,857,48113
TX,75020,City of Sherman,42462,1299,48181
TX,75020,3-d Mobile Home and Rv Park,90,128,48181
TX,75020,Tanglewood On Texoma,3762,767,48181
TX,75020,Colbert Public Works Authority,2312,241,48181
TX,75021,Oak Ridge South Gale Water Supply Corporation,3000,2070,48181
TX,75022,Cross Timbers Water Supply Corporation,7077,317,48121
TX,75024,City of Frisco,192261,1933,48085
TX,75028,Creekside Water System,1752,202,48121
TX,75032,City of Rockwall,43750,1866,48397
TX,75032,Forney Lake Water Supply Corporation,9207,1115,48397
TX,75032,City of Fate,14327,1834,48397
TX,75032,City of Rowlett,59300,2124,48397
TX,75032,Poetry Water Supply Corporation,3276,1279,48397
TX,75033,Town of Little Elm,41796,2005,48121
TX,75034,City of Hackberry,7752,1904,48085
TX,75034,Saratoga Estates,456,840,48085
TX,75034,Wynnwood Haven Estates,459,1,48085
TX,75034,Boyd Acres Water System,72,423,48085
TX,75038,City of Fort Worth,853762,857,48113
TX,75040,City of Sachse,25937,1921,48113
TX,75043,City of Mesquite,143350,1784,48113
TX,75043,Town of Sunnyvale,5580,1278,48113
TX,75048,City of Garland,236786,1952,48113
TX,75048,East Fork SUD,13596,1844,48113
TX,75050,City of Arlington,383950,793,48113
TX,75052,Matthew Road Water Supply Corporation,279,33,48113
TX,75054,Spring Creek Circle Water Supply Corporation,50,303,48113
TX,75058,City of Dorchester,1683,306,48181
TX,75058,Marilee Elmont,1830,241,48181
TX,75058,City of Gunter,2283,239,48181
TX,75058,City of Howe,3100,604,48181
TX,75060,City of Grand Prairie,187050,1297,48113
TX,75068,Last Resort Properties,75,96,48121
TX,75071,Altoga Water Supply Corporation,1260,363,48085
TX,75071,Verona Special Utility District,2967,364,48085
TX,75071,Marilee Special Utility District,5724,187,48085
TX,75076,City of Denison,22682,2072,48181
TX,75087,Bear Creek Special Utility District,6627,1970,48397
TX,75087,R C H Water Supply Corporation,5682,1849,48397
TX,75090,Pink Hill Water Supply Corporation,2340,118,48181
TX,75090,Luella Special Utility District,3489,554,48181
TX,75092,Two Way Special Utility District,5217,240,48181
TX,75092,High Country Estates,300,24,48181
TX,75092,City of Knollwood,1383,1907,48181
TX,75092,City of Sadler,582,311,48181
TX,75093,Air Park Estates,96,2073,48085
TX,75098,Wylie Northeast Special Utility District,7242,1488,48085
TX,75101,City of Bardwell,600,564,48139
TX,75102,Navarro Mills Water Supply Corporation,3744,1096,48349
TX,75102,City of Barry,285,1240,48349
TX,75102,City of Corsicana,23770,2199,48349
TX,75102,Emhouse Water System,755,1701,48349
TX,75103,Corinth Water Supply Corporation,1056,380,48467
TX,75103,Fruitvale Water Supply Corporation,3549,1322,48467
TX,75103,Martins Mill Water Supply Corporation,183,103,48467
TX,75103,Toe Water Supply Corporation,258,260,48467
TX,75103,City of Mabank,11349,2882,48467
TX,75104,City of Ovilla,3753,920,48113
TX,75104,City of Duncanville,39826,945,48113
TX,75104,City of Mansfield,68612,1797,48113
TX,75104,City of Midlothian,16728,2522,48113
TX,75109,Beaton Lake Estates Water System,73,1949,48349
