Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Stratford Municipal Water System,Arsenic,1.29 ppb,0.004 ppb,10 ppb
Stratford Municipal Water System,Bromochloroacetic acid,0.217 ppb,0.02 ppb,
Stratford Municipal Water System,Bromodichloromethane,0.480 ppb,0.06 ppb,
Stratford Municipal Water System,Bromoform,1.35 ppb,0.5 ppb,
Stratford Municipal Water System,Dibromoacetic acid,0.550 ppb,0.04 ppb,
Stratford Municipal Water System,Dibromochloromethane,0.909 ppb,0.1 ppb,
Stratford Municipal Water System,Dichloroacetic acid,0.783 ppb,0.2 ppb,
Stratford Municipal Water System,Haloacetic acids (HAA5)†,2.05 ppb,0.1 ppb,60 ppb
Stratford Municipal Water System,Nitrate,2.91 ppm,0.14 ppm,10 ppm
Stratford Municipal Water System,Nitrate and nitrite,2.80 ppm,0.14 ppm,10 ppm
Stratford Municipal Water System,"Radium, combined (-226 &amp; -228)",0.47 pCi/L,0.05 pCi/L,5 pCi/L
Stratford Municipal Water System,Total trihalomethanes (TTHMs)†,0.417 ppb,0.15 ppb,80 ppb
Stratford Municipal Water System,Uranium,9.07 pCi/L,0.43 pCi/L,20 pCi/L
Stratford Municipal Water System,Acetone,0.371 ppb,,
Stratford Municipal Water System,Atrazine,0.0167 ppb,0.1 ppb,3 ppb
Stratford Municipal Water System,Barium,47.3 ppb,700 ppb,"2,000 ppb"
Stratford Municipal Water System,Chloroform,0.272 ppb,0.4 ppb,
Stratford Municipal Water System,Chromium (total),2.78 ppb,,100 ppb
Stratford Municipal Water System,Di(2-ethylhexyl) phthalate,0.783 ppb,3 ppb,6 ppb
Stratford Municipal Water System,Fluoride,1.30 ppm,,4 ppm
Stratford Municipal Water System,Manganese,1.86 ppb,100 ppb,
Stratford Municipal Water System,Metolachlor,0.0167 ppb,,
Stratford Municipal Water System,Monochloroacetic acid,0.717 ppb,53 ppb,
Stratford Municipal Water System,Nitrite,0.00819 ppm,,1 ppm
Stratford Municipal Water System,Selenium,2.25 ppb,30 ppb,50 ppb
Stratford Municipal Water System,None,,,
Texhoma City Municipal Water System,Arsenic,3.63 ppb,0.004 ppb,10 ppb
Texhoma City Municipal Water System,Nitrate,2.62 ppm,0.14 ppm,10 ppm
Texhoma City Municipal Water System,Nitrate and nitrite,3.13 ppm,0.14 ppm,10 ppm
Texhoma City Municipal Water System,"Radium, combined (-226 &amp; -228)",0.55 pCi/L,0.05 pCi/L,5 pCi/L
Texhoma City Municipal Water System,Uranium,7.74 pCi/L,0.43 pCi/L,20 pCi/L
Texhoma City Municipal Water System,Barium,31.3 ppb,700 ppb,"2,000 ppb"
Texhoma City Municipal Water System,Chromium (total),4.03 ppb,,100 ppb
Texhoma City Municipal Water System,Fluoride,1.94 ppm,,4 ppm
Texhoma City Municipal Water System,Selenium,1.30 ppb,30 ppb,50 ppb
Texhoma City Municipal Water System,None,,,
City of Carrollton,Arsenic*,0.297 ppb,0.004 ppb,10 ppb
City of Carrollton,Bromate*,1.23 ppb,0.1 ppb,10 ppb
City of Carrollton,Bromochloroacetic acid,3.62 ppb,0.02 ppb,
City of Carrollton,Bromodichloromethane,5.48 ppb,0.06 ppb,
City of Carrollton,Chloroform,11.3 ppb,0.4 ppb,
City of Carrollton,Chromium (hexavalent),0.394 ppb,0.02 ppb,
City of Carrollton,Dibromoacetic acid,0.705 ppb,0.04 ppb,
City of Carrollton,Dibromochloromethane,2.65 ppb,0.1 ppb,
City of Carrollton,Dichloroacetic acid,12.4 ppb,0.2 ppb,
City of Carrollton,Haloacetic acids (HAA5)†,17.1 ppb,0.1 ppb,60 ppb
City of Carrollton,Haloacetic acids (HAA9)†,23.0 ppb,0.06 ppb,
City of Carrollton,Nitrate,0.937 ppm,0.14 ppm,10 ppm
City of Carrollton,Nitrate and nitrite,0.545 ppm,0.14 ppm,10 ppm
