State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Arsenic,1.29,0.004,10,ppb,322.5
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Bromochloroacetic acid,0.217,0.02,0,ppb,10.85
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Bromodichloromethane,0.48,0.06,0,ppb,8.0
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Bromoform,1.35,0.5,0,ppb,2.7
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Dibromoacetic acid,0.55,0.04,0,ppb,13.75
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Dibromochloromethane,0.909,0.1,0,ppb,9.09
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Dichloroacetic acid,0.783,0.2,0,ppb,3.915
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Haloacetic acids (HAA5)†,2.05,0.1,60,ppb,20.499999999999996
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Nitrate,2.91,0.14,10,ppm,20.785714285714285
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Nitrate and nitrite,2.8,0.14,10,ppm,19.999999999999996
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Radium combined (-226 &amp; -228),0.47,0.05,5,pCi/L,9.399999999999999
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Total trihalomethanes (TTHMs)†,0.417,0.15,80,ppb,2.78
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Uranium,9.07,0.43,20,pCi/L,21.093023255813954
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Atrazine,0.0167,0.1,3,ppb,0.16699999999999998
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Barium,47.3,700.0,2000,ppb,0.06757142857142857
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Chloroform,0.272,0.4,0,ppb,0.68
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Di(2-ethylhexyl) phthalate,0.783,3.0,6,ppb,0.261
TX,Stratford,73960.0,Stratford Municipal Water System,1950,Manganese,1.86,100.0,0,ppb,0.018600000000000002
