State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
UT,84001,Duchesne Company Water Conservancy District,0,1140,49013
UT,84001,Duchesne County Upper Country Water Improvement District,2100,1218,49013
UT,84001,Duchesne Water System,1900,541,49013
UT,84001,East Duchesne Culinary Water Improvement District,600,916,49013
UT,84001,Pinion Forest Ssd,640,19,49013
UT,84001,South Duchesne Culinary Water,525,417,49013
UT,84001,Tabiona Town Water System,350,3,49013
UT,84003,Hobble Creek Haven Development,151,293,49049
UT,84003,Spring Lake,475,87,49049
UT,84003,Utah State Hospital,800,6,49049
UT,84003,Vineyard City,14492,413,49049
UT,84003,Vivian Park Homeowners,365,41,49049
UT,84006,Copperton Improvement District,990,1402,49035
UT,84008,Ballard Water Improvement District,1005,151,49047
UT,84008,Jensen Water Improvement District,1375,719,49047
UT,84008,Pine Meadows PUD,224,675,49047
UT,84008,Vernal City Water System,11000,419,49047
UT,84009,Bluffdale Water System,15400,1982,49035
UT,84009,Cottonwood Coves Inc.,250,474,49035
UT,84009,Draper City Water System,17500,2019,49035
UT,84009,South Jordan City,57067,2049,49035
UT,84009,Webb Well Water Users,250,236,49035
UT,84010,Boyer Hill Military Housing,3300,480,49011
UT,84010,Kaysville City Water System,27300,862,49011
UT,84010,Mutton Hollow Improvement District,740,680,49011
UT,84010,Sunset City Water System,5300,628,49011
UT,84010,Weber Basin Job Corps,230,344,49011
UT,84017,Echo Mutual Water System,70,621,49043
UT,84017,Hoytsville Pipe Water Company,440,194,49043
UT,84018,Hidden Hollow Water Company,45,1160,49029
UT,84018,South Robinson Springs Water Users,28,301,49029
UT,84022,Erda Acres Water Company,950,417,49045
UT,84022,Ophir Canyon Water Assocation,101,207,49045
UT,84022,Oquirrh Mountain Water Company,1506,489,49045
UT,84022,Wendover City Water System,1400,174,49045
UT,84023,Greendale Water Company,467,820,49009
UT,84032,Center Creek Water System,200,419,49051
UT,84032,Hideout Town Water System,900,831,49051
UT,84032,North Village Special Service District,1025,756,49051
UT,84044,Granger - Hunter Improvement District,121083,2326,49035
UT,84047,Jordan Valley Water Conservancy District,82500,1969,49035
UT,84047,Sandy City Water System,99750,1207,49035
UT,84047,Murray City Water System,36000,459,49035
UT,84047,West Jordan City Water System,113699,2844,49035
UT,84067,Huntsville Town Water System,750,309,49057
UT,84067,Pole Patch Water System,66,81,49057
UT,84067,South Ogden City Water System,17000,1770,49057
UT,84067,Uintah Town Water System,1300,833,49057
UT,84067,Waypoint Academy,50,21,49057
UT,84067,West Haven Special Service District,2000,1092,49057
UT,84067,West Warren -warren Improvement District,1040,710,49057
UT,84070,Midvale City Water System,33000,1030,49035
UT,84092,Alta Town Water System,3885,276,49035
UT,84095,Herriman City Municipal Water Department,30000,1893,49035
UT,84106,South Salt Lake City Water System,23600,948,49035
UT,84108,Emigration Improvement District,900,211,49035
UT,84109,Holliday Water Company,15000,373,49035
UT,84116,Magna Water District,32100,2080,49035
UT,84301,Bear River Wcd- Collinston Water System,102,966,49003
UT,84301,Fox Hill Mobile Home Community,60,16,49003
UT,84301,Garland City Water System,2400,709,49003
UT,84301,M & J Trailer Home Community,27,256,49003
UT,84304,Cornish Town Water System,270,552,49005
UT,84501,Wellington City,1676,952,49007
UT,84511,Pack Creek Water Company,75,132,49037
UT,84511,East Wilson Arch Resort Comm.,34,235,49037
UT,84513,Castledale,1700,661,49015
UT,84513,Cleveland Water System,509,91,49015
UT,84513,Elmo Town,368,132,49015
UT,84513,North Emery Special Service District,1500,136,49015
UT,84620,Aurora City,950,456,49041
UT,84620,Brooklyn Tapline Company Inc.,155,588,49041
UT,84620,Sigurd Town Water System,500,887,49041
UT,84620,South Monroe Culinary Water Company,25,849,49041
UT,84621,Manti City,3300,389,49039
UT,84621,Spring City,950,1,49039
UT,84621,Sterling Town Water System,300,409,49039
UT,84624,Holden Town Water System,450,254,49027
UT,84624,Kanosh Town Water System,495,382,49027
UT,84624,Lynndyl Town Water System,100,1298,49027
UT,84628,Levan Town Water System,851,46,49023
UT,84712,Bryce Canyon National Park,35,83,49031
UT,84712,Henrieville Town Water System,300,296,49031
UT,84713,Minersville Water System,907,1475,49001
UT,84714,Bumblebee Water System,60,495,49021
UT,84714,Mid Valley Estates,750,1633,49021
UT,84715,Bicknell Bottoms,45,1471,49055
UT,84715,Lyman Water System,225,1223,49055
UT,84715,Torrey Town Water System,750,748,49055
UT,84722,Three Points Center,25,990,49053
UT,84722,Homespun Village Water Co.,42,1453,49053
UT,84722,Ivins,8700,990,49053
UT,84722,K.w.u. Inc.,460,2081,49053
UT,84722,North Valley Ranches Sub,25,1130,49053
UT,84722,Rockville Pipeline Company,240,1384,49053
UT,84722,Santa Clara City,8000,239,49053
UT,84722,Zion Canyon Water System,3380,330,49053
