Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Duchesne Company Water Conservancy District,Bromodichloromethane,8.70 ppb,0.06 ppb,
Duchesne Company Water Conservancy District,Chloroform,33.7 ppb,0.4 ppb,
Duchesne Company Water Conservancy District,Dibromochloromethane,2.96 ppb,0.1 ppb,
Duchesne Company Water Conservancy District,Dichloroacetic acid,17.9 ppb,0.2 ppb,
Duchesne Company Water Conservancy District,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
Duchesne Company Water Conservancy District,Total trihalomethanes (TTHMs)†,45.3 ppb,0.15 ppb,80 ppb
Duchesne Company Water Conservancy District,Trichloroacetic acid,15.6 ppb,0.1 ppb,
Duchesne Company Water Conservancy District,Bromide*,25.5 ppb,,
Duchesne Company Water Conservancy District,None,,,
Duchesne County Upper Country Water Improvement District,Arsenic,4.87 ppb,0.004 ppb,10 ppb
Duchesne County Upper Country Water Improvement District,Barium,104.5 ppb,700 ppb,"2,000 ppb"
Duchesne County Upper Country Water Improvement District,Fluoride,0.429 ppm,,4 ppm
Duchesne County Upper Country Water Improvement District,Nitrate,0.0386 ppm,0.14 ppm,10 ppm
Duchesne County Upper Country Water Improvement District,Selenium,0.367 ppb,30 ppb,50 ppb
Duchesne County Upper Country Water Improvement District,None,,,
Duchesne Water System,Haloacetic acids (HAA5)†,22.9 ppb,0.1 ppb,60 ppb
Duchesne Water System,Total trihalomethanes (TTHMs)†,46.8 ppb,0.15 ppb,80 ppb
East Duchesne Culinary Water Improvement District,Bromodichloromethane,9.75 ppb,0.06 ppb,
East Duchesne Culinary Water Improvement District,Chloroform,33.6 ppb,0.4 ppb,
East Duchesne Culinary Water Improvement District,Dibromoacetic acid,0.164 ppb,0.04 ppb,
East Duchesne Culinary Water Improvement District,Dibromochloromethane,3.41 ppb,0.1 ppb,
East Duchesne Culinary Water Improvement District,Dichloroacetic acid,11.2 ppb,0.2 ppb,
East Duchesne Culinary Water Improvement District,Haloacetic acids (HAA5)†,20.4 ppb,0.1 ppb,60 ppb
East Duchesne Culinary Water Improvement District,Total trihalomethanes (TTHMs)†,40.9 ppb,0.15 ppb,80 ppb
East Duchesne Culinary Water Improvement District,Trichloroacetic acid,9.85 ppb,0.1 ppb,
East Duchesne Culinary Water Improvement District,Monobromoacetic acid,0.0545 ppb,25 ppb,
East Duchesne Culinary Water Improvement District,None,,,
Pinion Forest Ssd,"Radium, combined (-226 &amp; -228)",0.93 pCi/L,0.05 pCi/L,5 pCi/L
Pinion Forest Ssd,Barium,9.95 ppb,700 ppb,"2,000 ppb"
Pinion Forest Ssd,Fluoride,0.485 ppm,,4 ppm
Pinion Forest Ssd,Selenium,1.40 ppb,30 ppb,50 ppb
Pinion Forest Ssd,Toluene,0.229 ppb,150 ppb,"1,000 ppb"
Pinion Forest Ssd,None,,,
South Duchesne Culinary Water,Haloacetic acids (HAA5)†,1.78 ppb,0.1 ppb,60 ppb
South Duchesne Culinary Water,Total trihalomethanes (TTHMs)†,59.9 ppb,0.15 ppb,80 ppb
Tabiona Town Water System,Nitrate,0.261 ppm,0.14 ppm,10 ppm
Tabiona Town Water System,"Radium, combined (-226 &amp; -228)",0.05 pCi/L,0.05 pCi/L,5 pCi/L
Tabiona Town Water System,None,,,
Hobble Creek Haven Development,Arsenic*,0.406 ppb,0.004 ppb,10 ppb
Hobble Creek Haven Development,Bromodichloromethane,0.650 ppb,0.06 ppb,
Hobble Creek Haven Development,Chloroform,4.40 ppb,0.4 ppb,
Hobble Creek Haven Development,Chromium (hexavalent)*,0.487 ppb,0.02 ppb,
Hobble Creek Haven Development,Dichloroacetic acid,2.05 ppb,0.2 ppb,
Hobble Creek Haven Development,Haloacetic acids (HAA5)†,2.65 ppb,0.1 ppb,60 ppb
Hobble Creek Haven Development,Haloacetic acids (HAA9)*†,3.63 ppb,0.06 ppb,
Hobble Creek Haven Development,Nitrate*,0.475 ppm,0.14 ppm,10 ppm
Hobble Creek Haven Development,"Radium, combined (-226 &amp; -228)*",0.25 pCi/L,0.05 pCi/L,5 pCi/L
Hobble Creek Haven Development,Total trihalomethanes (TTHMs)†,5.05 ppb,0.15 ppb,80 ppb
Hobble Creek Haven Development,Trichloroacetic acid,0.600 ppb,0.1 ppb,
Hobble Creek Haven Development,Barium*,64.5 ppb,700 ppb,"2,000 ppb"
Hobble Creek Haven Development,Chromium (total)*,0.274 ppb,,100 ppb
Hobble Creek Haven Development,Di(2-ethylhexyl) phthalate*,0.0553 ppb,3 ppb,6 ppb
Hobble Creek Haven Development,Fluoride*,0.119 ppm,,4 ppm
Hobble Creek Haven Development,Manganese*,3.25 ppb,100 ppb,
Hobble Creek Haven Development,Molybdenum*,0.838 ppb,40 ppb,
