State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Bromodichloromethane,8.7,0.06,0,ppb,145.0
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Chloroform,33.7,0.4,0,ppb,84.25
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Dibromochloromethane,2.96,0.1,0,ppb,29.599999999999998
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Dichloroacetic acid,17.9,0.2,0,ppb,89.49999999999999
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Haloacetic acids (HAA5)†,33.4,0.1,60,ppb,333.99999999999994
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Total trihalomethanes (TTHMs)†,45.3,0.15,80,ppb,302.0
UT,Roosevelt,84001.0,Duchesne Company Water Conservancy District,0,Trichloroacetic acid,15.6,0.1,0,ppb,156.0
UT,Altamont,84001.0,Duchesne County Upper Country Water Improvement District,2100,Arsenic,4.87,0.004,10,ppb,1217.5
UT,Altamont,84001.0,Duchesne County Upper Country Water Improvement District,2100,Barium,104.5,700.0,2000,ppb,0.1492857142857143
UT,Altamont,84001.0,Duchesne County Upper Country Water Improvement District,2100,Nitrate,0.0386,0.14,10,ppm,0.2757142857142857
UT,Altamont,84001.0,Duchesne County Upper Country Water Improvement District,2100,Selenium,0.367,30.0,50,ppb,0.012233333333333334
UT,Duchesne,84001.0,Duchesne Water System,1900,Haloacetic acids (HAA5)†,22.9,0.1,60,ppb,228.99999999999997
UT,Duchesne,84001.0,Duchesne Water System,1900,Total trihalomethanes (TTHMs)†,46.8,0.15,80,ppb,312.0
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Bromodichloromethane,9.75,0.06,0,ppb,162.5
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Chloroform,33.6,0.4,0,ppb,84.0
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Dibromoacetic acid,0.164,0.04,0,ppb,4.1
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Dibromochloromethane,3.41,0.1,0,ppb,34.1
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Dichloroacetic acid,11.2,0.2,0,ppb,55.99999999999999
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Haloacetic acids (HAA5)†,20.4,0.1,60,ppb,203.99999999999997
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Total trihalomethanes (TTHMs)†,40.9,0.15,80,ppb,272.6666666666667
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Trichloroacetic acid,9.85,0.1,0,ppb,98.49999999999999
UT,Duchesne,84001.0,East Duchesne Culinary Water Improvement District,600,Monobromoacetic acid,0.0545,25.0,0,ppb,0.00218
UT,Duchesne,84001.0,Pinion Forest Ssd,640,Radium combined (-226 &amp; -228),0.93,0.05,5,pCi/L,18.6
UT,Duchesne,84001.0,Pinion Forest Ssd,640,Barium,9.95,700.0,2000,ppb,0.014214285714285714
UT,Duchesne,84001.0,Pinion Forest Ssd,640,Selenium,1.4,30.0,50,ppb,0.04666666666666666
UT,Duchesne,84001.0,Pinion Forest Ssd,640,Toluene,0.229,150.0,1000,ppb,0.0015266666666666666
UT,Duchesne,84001.0,South Duchesne Culinary Water,525,Haloacetic acids (HAA5)†,1.78,0.1,60,ppb,17.8
UT,Duchesne,84001.0,South Duchesne Culinary Water,525,Total trihalomethanes (TTHMs)†,59.9,0.15,80,ppb,399.3333333333333
UT,Tabiona,84001.0,Tabiona Town Water System,350,Nitrate,0.261,0.14,10,ppm,1.864285714285714
UT,Tabiona,84001.0,Tabiona Town Water System,350,Radium combined (-226 &amp; -228),0.05,0.05,5,pCi/L,1.0
UT,Springville,84003.0,Hobble Creek Haven Development,151,Arsenic*,0.406,0.004,10,ppb,101.5
UT,Springville,84003.0,Hobble Creek Haven Development,151,Bromodichloromethane,0.65,0.06,0,ppb,10.833333333333334
UT,Springville,84003.0,Hobble Creek Haven Development,151,Chloroform,4.4,0.4,0,ppb,11.0
UT,Springville,84003.0,Hobble Creek Haven Development,151,Chromium (hexavalent)*,0.487,0.02,0,ppb,24.349999999999998
UT,Springville,84003.0,Hobble Creek Haven Development,151,Dichloroacetic acid,2.05,0.2,0,ppb,10.249999999999998
UT,Springville,84003.0,Hobble Creek Haven Development,151,Haloacetic acids (HAA5)†,2.65,0.1,60,ppb,26.499999999999996
UT,Springville,84003.0,Hobble Creek Haven Development,151,Haloacetic acids (HAA9)*†,3.63,0.06,0,ppb,60.5
UT,Springville,84003.0,Hobble Creek Haven Development,151,Nitrate*,0.475,0.14,10,ppm,3.3928571428571423
UT,Springville,84003.0,Hobble Creek Haven Development,151,Radium combined (-226 &amp; -228)*,0.25,0.05,5,pCi/L,5.0
UT,Springville,84003.0,Hobble Creek Haven Development,151,Total trihalomethanes (TTHMs)†,5.05,0.15,80,ppb,33.666666666666664
UT,Springville,84003.0,Hobble Creek Haven Development,151,Trichloroacetic acid,0.6,0.1,0,ppb,5.999999999999999
UT,Springville,84003.0,Hobble Creek Haven Development,151,Barium*,64.5,700.0,2000,ppb,0.09214285714285714
UT,Springville,84003.0,Hobble Creek Haven Development,151,Di(2-ethylhexyl) phthalate*,0.0553,3.0,6,ppb,0.018433333333333333
UT,Springville,84003.0,Hobble Creek Haven Development,151,Manganese*,3.25,100.0,0,ppb,0.0325
UT,Springville,84003.0,Hobble Creek Haven Development,151,Molybdenum*,0.838,40.0,0,ppb,0.02095
UT,Springville,84003.0,Hobble Creek Haven Development,151,Selenium*,1.22,30.0,50,ppb,0.04066666666666666
UT,Springville,84003.0,Hobble Creek Haven Development,151,Strontium*,0.267,1500.0,0,ppb,0.00017800000000000002
UT,Springville,84003.0,Hobble Creek Haven Development,151,Vanadium*,0.441,21.0,0,ppb,0.021
UT,Payson,84003.0,Spring Lake,475,Arsenic,0.25,0.004,10,ppb,62.5
UT,Payson,84003.0,Spring Lake,475,Dichloroacetic acid,1.15,0.2,0,ppb,5.749999999999999
UT,Payson,84003.0,Spring Lake,475,Haloacetic acids (HAA5)†,1.15,0.1,60,ppb,11.499999999999998
UT,Payson,84003.0,Spring Lake,475,Radium combined (-226 &amp; -228),0.26,0.05,5,pCi/L,5.2
UT,Payson,84003.0,Spring Lake,475,Barium,132.2,700.0,2000,ppb,0.18885714285714283
UT,Payson,84003.0,Spring Lake,475,Nitrate,0.234,0.14,10,ppm,1.6714285714285713
UT,Payson,84003.0,Spring Lake,475,Selenium,1.95,30.0,50,ppb,0.065
UT,Provo,84003.0,Utah State Hospital,800,Radium combined (-226 &amp; -228),0.22,0.05,5,pCi/L,4.3999999999999995
UT,Provo,84003.0,Utah State Hospital,800,Barium,18.0,700.0,2000,ppb,0.025714285714285714
UT,Provo,84003.0,Utah State Hospital,800,Nitrate,0.146,0.14,10,ppm,1.0428571428571427
UT,Provo,84003.0,Utah State Hospital,800,Selenium,1.4,30.0,50,ppb,0.04666666666666666
UT,Vineyard,84003.0,Vineyard City,14492,Bromodichloromethane,3.85,0.06,0,ppb,64.16666666666667
UT,Vineyard,84003.0,Vineyard City,14492,Chloroform,12.1,0.4,0,ppb,30.249999999999996
UT,Vineyard,84003.0,Vineyard City,14492,Dibromochloromethane,1.38,0.1,0,ppb,13.799999999999999
UT,Vineyard,84003.0,Vineyard City,14492,Dichloroacetic acid,3.38,0.2,0,ppb,16.9
UT,Vineyard,84003.0,Vineyard City,14492,Haloacetic acids (HAA5)†,10.1,0.1,60,ppb,100.99999999999999
UT,Vineyard,84003.0,Vineyard City,14492,Total trihalomethanes (TTHMs)†,17.8,0.15,80,ppb,118.66666666666667
UT,Vineyard,84003.0,Vineyard City,14492,Trichloroacetic acid,6.73,0.1,0,ppb,67.3
UT,Vineyard,84003.0,Vineyard City,14492,Bromoform,0.5,0.5,0,ppb,1.0
UT,Provo,84003.0,Vivian Park Homeowners,365,Bromodichloromethane,0.46,0.06,0,ppb,7.666666666666667
UT,Provo,84003.0,Vivian Park Homeowners,365,Dibromochloromethane,0.48,0.1,0,ppb,4.8
UT,Provo,84003.0,Vivian Park Homeowners,365,Radium combined (-226 &amp; -228),0.83,0.05,5,pCi/L,16.599999999999998
UT,Provo,84003.0,Vivian Park Homeowners,365,Total trihalomethanes (TTHMs)†,1.4,0.15,80,ppb,9.333333333333334
UT,Provo,84003.0,Vivian Park Homeowners,365,Barium,62.5,700.0,2000,ppb,0.08928571428571429
UT,Provo,84003.0,Vivian Park Homeowners,365,Chloroform,0.42,0.4,0,ppb,1.0499999999999998
UT,Provo,84003.0,Vivian Park Homeowners,365,Nitrate,0.193,0.14,10,ppm,1.3785714285714286
UT,Provo,84003.0,Vivian Park Homeowners,365,Selenium,1.1,30.0,50,ppb,0.03666666666666667
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Arsenic,5.5,0.004,10,ppb,1375.0
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Nitrate,0.797,0.14,10,ppm,5.692857142857142
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Radium combined (-226 &amp; -228),0.92,0.05,5,pCi/L,18.4
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Barium,212.0,700.0,2000,ppb,0.3028571428571429
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Bromoform,0.213,0.5,0,ppb,0.426
UT,Bingham Canyon UT,84006.0,Copperton Improvement District,990,Selenium,3.2,30.0,50,ppb,0.10666666666666667
