Utility name,City,People served,Zip
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84001
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84001
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84001
Duchesne Water System,Duchesne,"Population served: 1,900",84001
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84001
Pinion Forest Ssd,Duchesne,Population served: 640,84001
South Duchesne Culinary Water,Duchesne,Population served: 525,84001
Tabiona Town Water System,Tabiona,Population served: 350,84001
Hobble Creek Haven Development,Springville,Population served: 151,84003
Spring Lake,Payson,Population served: 475,84003
Utah State Hospital,Provo,Population served: 800,84003
Vineyard City,Vineyard,"Population served: 14,492",84003
Vivian Park Homeowners,Provo,Population served: 365,84003
Copperton Improvement District,"Bingham Canyon, UT",Population served:990,84006
Ballard Water Improvement District,Ballard,"Population served: 1,005",84008
Jensen Water Improvement District,Jensen,"Population served: 1,375",84008
Johnson Water District - Independence,Roosevelt,Population served: 138,84008
Pine Meadows PUD,South Jordan,Population served: 224,84008
Vernal City Water System,Vernal,"Population served: 11,000",84008
Bluffdale Water System,Bluffdale,"Population served: 15,400",84009
Cottonwood Coves Inc.,Murray,Population served: 250,84009
Draper City Water System,Draper,"Population served: 17,500",84009
South Jordan City,South Jordan,"Population served: 57,067",84009
Va Medical Center Slc,Salt Lake City,"Population served: 5,550",84009
Webb Well Water Users,Bluffdale,Population served: 250,84009
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84010
Kaysville City Water System,Kaysville,"Population served: 27,300",84010
Mutton Hollow Improvement District,Kaysville,Population served: 740,84010
Sunset City Water System,Sunset,"Population served: 5,300",84010
Weber Basin Job Corps,Ogden,Population served: 230,84010
Echo Mutual Water System,Echo,Population served: 70,84017
Hoytsville Pipe Water Company,Coalville,Population served: 440,84017
,,Population served: 0,84017
Hidden Hollow Water Company,Morgan,Population served: 45,84018
South Robinson Springs Water Users,Morgan,Population served: 28,84018
Erda Acres Water Company,Tooele,Population served: 950,84022
Ophir Canyon Water Assocation,Ophir,Population served: 101,84022
Oquirrh Mountain Water Company,Tooele,"Population served: 1,506",84022
Wendover City Water System,Wendover,"Population served: 1,400",84022
Greendale Water Company,Dutch John,Population served: 467,84023
Center Creek Water System,Heber City,Population served: 200,84032
Country Estates Mobile Home Park,Wallsburg,Population served: 200,84032
Hideout Town Water System,Hideout,Population served: 900,84032
North Village Special Service District,Heber City,"Population served: 1,025",84032
Salt Lake City Water System,"Salt Lake City, UT","Population served:343,850",84044
Granger - Hunter Improvement District,"West Valley City, UT","Population served:121,083",84044
Jordan Valley Water Conservancy District,"West Jordan, UT","Population served:82,500",84047
Sandy City Water System,"Sandy, UT","Population served:99,750",84047
Murray City Water System,"Murray, UT","Population served:36,000",84047
West Jordan City Water System,"West Jordan, UT","Population served:113,699",84047
Huntsville Town Water System,Huntsville,Population served: 750,84067
Pole Patch Water System,North Ogden,Population served: 66,84067
South Ogden City Water System,Ogden,"Population served: 17,000",84067
Uintah Town Water System,Uintah,"Population served: 1,300",84067
Washington Terrace City Water System,Washington Terrace,"Population served: 9,200",84067
Waypoint Academy,Huntsville,Population served: 50,84067
West Haven Special Service District,West Haven,"Population served: 2,000",84067
West Warren -warren Improvement District,Ogden,"Population served: 1,040",84067
Wildwood Water Llc,Ogden,Population served: 32,84067
Midvale City Water System,"Midvale, UT","Population served:33,000",84070
White City WID,"Sandy, UT","Population served:15,800",84070
Kearns Improvement District,"Kearns, UT","Population served:51,684",84081
Taylorsville-Bennion Improvement District,"Taylorsville, UT","Population served:69,992",84084
Alta Town Water System,"Alta, UT","Population served:3,885",84092
Sl County Service Area No. 3 - Snowbird,"Snowbird, UT","Population served:8,200",84092
Riverton City Water System,"Riverton, UT","Population served:42,838",84095
Herriman City Municipal Water Department,"Herriman, UT","Population served:30,000",84095
South Salt Lake City Water System,"Salt Lake City, UT","Population served:23,600",84106
Emigration Improvement District,"Salt Lake City, UT",Population served:900,84108
Holliday Water Company,"Salt Lake City, UT","Population served:15,000",84109
Magna Water District,"Magna, UT","Population served:32,100",84116
Bear River Wcd- Collinston Water System,Brigham City,Population served: 102,84301
Bear River Wcd-harper Ward,Brigham City,Population served: 390,84301
Bear River Wcd-riverside-north Garland,Brigham City,"Population served: 1,250",84301
Cedar Ridge Distribution Company,Deweyville,Population served: 100,84301
Fox Hill Mobile Home Community,South Ogden,Population served: 60,84301
Garland City Water System,Garland,"Population served: 2,400",84301
M & J Trailer Home Community,Sandy,Population served: 27,84301
Cornish Town Water System,Cornish,Population served: 270,84304
Wellington City,Wellington,"Population served: 1,676",84501
Pack Creek Water Company,Monticello,Population served: 75,84511
East Wilson Arch Resort Comm.,Moab,Population served: 34,84511
Castledale,Castle Dale,"Population served: 1,700",84513
Cleveland Water System,Castle Dale,Population served: 509,84513
Elmo Town,Castle Dale,Population served: 368,84513
North Emery Special Service District,Cleveland,"Population served: 1,500",84513
Aurora City,Aurora,Population served: 950,84620
Brooklyn Tapline Company Inc.,Elsinore,Population served: 155,84620
Sigurd Town Water System,Sigurd,Population served: 500,84620
South Monroe Culinary Water Company,Monroe,Population served: 25,84620
Manti City,Manti,"Population served: 3,300",84621
Spring City,Spring City,Population served: 950,84621
Sterling Town Water System,Sterling,Population served: 300,84621
Holden Town Water System,Holden,Population served: 450,84624
Kanosh Town Water System,Kanosh,Population served: 495,84624
Lynndyl Town Water System,Lynndyl,Population served: 100,84624
Levan Town Water System,Levan,Population served: 851,84628
Bryce Canyon National Park,Bryce Canyon,Population served: 35,84712
Henrieville Town Water System,Henrieville,Population served: 300,84712
Minersville Water System,Minersville,Population served: 907,84713
Bumblebee Water System,St George,Population served: 60,84714
Mid Valley Estates,Cedar City,Population served: 750,84714
Bicknell Bottoms,Bicknell,Population served: 45,84715
Lyman Water System,Lyman,Population served: 225,84715
Torrey Town Water System,Torrey,Population served: 750,84715
Three Points Center,Hurricane,Population served: 25,84722
Homespun Village Water Co.,Leeds,Population served: 42,84722
Ivins,Ivins,"Population served: 8,700",84722
K.w.u. Inc.,Ivins,Population served: 460,84722
North Valley Ranches Sub,New Harmony,Population served: 25,84722
Rockville Pipeline Company,Rockville,Population served: 240,84722
Santa Clara City,Santa Clara,"Population served: 8,000",84722
Virgin,Virgin,Population served: 750,84722
Washington County Water Conservancy District - Cottam,St George,Population served: 70,84722
Zion Canyon Water System,Springdale,"Population served: 3,380",84722
