Utility name,City,People served,Zip
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84001
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84001
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84001
Duchesne Water System,Duchesne,"Population served: 1,900",84001
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84001
Pinion Forest Ssd,Duchesne,Population served: 640,84001
South Duchesne Culinary Water,Duchesne,Population served: 525,84001
Tabiona Town Water System,Tabiona,Population served: 350,84001
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84002
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84002
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84002
Duchesne Water System,Duchesne,"Population served: 1,900",84002
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84002
Pinion Forest Ssd,Duchesne,Population served: 640,84002
South Duchesne Culinary Water,Duchesne,Population served: 525,84002
Tabiona Town Water System,Tabiona,Population served: 350,84002
Hobble Creek Haven Development,Springville,Population served: 151,84003
Spring Lake,Payson,Population served: 475,84003
Utah State Hospital,Provo,Population served: 800,84003
Vineyard City,Vineyard,"Population served: 14,492",84003
Vivian Park Homeowners,Provo,Population served: 365,84003
Hobble Creek Haven Development,Springville,Population served: 151,84004
Spring Lake,Payson,Population served: 475,84004
Utah State Hospital,Provo,Population served: 800,84004
Vineyard City,Vineyard,"Population served: 14,492",84004
Vivian Park Homeowners,Provo,Population served: 365,84004
Hobble Creek Haven Development,Springville,Population served: 151,84005
Spring Lake,Payson,Population served: 475,84005
Utah State Hospital,Provo,Population served: 800,84005
Vineyard City,Vineyard,"Population served: 14,492",84005
Vivian Park Homeowners,Provo,Population served: 365,84005
Copperton Improvement District,"Bingham Canyon, UT",Population served:990,84006
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84007
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84007
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84007
Duchesne Water System,Duchesne,"Population served: 1,900",84007
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84007
Pinion Forest Ssd,Duchesne,Population served: 640,84007
South Duchesne Culinary Water,Duchesne,Population served: 525,84007
Tabiona Town Water System,Tabiona,Population served: 350,84007
Ballard Water Improvement District,Ballard,"Population served: 1,005",84008
Jensen Water Improvement District,Jensen,"Population served: 1,375",84008
Johnson Water District - Independence,Roosevelt,Population served: 138,84008
Pine Meadows PUD,South Jordan,Population served: 224,84008
Vernal City Water System,Vernal,"Population served: 11,000",84008
Bluffdale Water System,Bluffdale,"Population served: 15,400",84009
Cottonwood Coves Inc.,Murray,Population served: 250,84009
Draper City Water System,Draper,"Population served: 17,500",84009
South Jordan City,South Jordan,"Population served: 57,067",84009
Va Medical Center Slc,Salt Lake City,"Population served: 5,550",84009
Webb Well Water Users,Bluffdale,Population served: 250,84009
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84010
Kaysville City Water System,Kaysville,"Population served: 27,300",84010
Mutton Hollow Improvement District,Kaysville,Population served: 740,84010
Sunset City Water System,Sunset,"Population served: 5,300",84010
Weber Basin Job Corps,Ogden,Population served: 230,84010
Hobble Creek Haven Development,Springville,Population served: 151,84013
Spring Lake,Payson,Population served: 475,84013
Utah State Hospital,Provo,Population served: 800,84013
Vineyard City,Vineyard,"Population served: 14,492",84013
Vivian Park Homeowners,Provo,Population served: 365,84013
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84014
Kaysville City Water System,Kaysville,"Population served: 27,300",84014
Mutton Hollow Improvement District,Kaysville,Population served: 740,84014
Sunset City Water System,Sunset,"Population served: 5,300",84014
Weber Basin Job Corps,Ogden,Population served: 230,84014
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84015
Kaysville City Water System,Kaysville,"Population served: 27,300",84015
Mutton Hollow Improvement District,Kaysville,Population served: 740,84015
Sunset City Water System,Sunset,"Population served: 5,300",84015
Weber Basin Job Corps,Ogden,Population served: 230,84015
Echo Mutual Water System,Echo,Population served: 70,84017
Hoytsville Pipe Water Company,Coalville,Population served: 440,84017
,,Population served: 0,84017
Hidden Hollow Water Company,Morgan,Population served: 45,84018
South Robinson Springs Water Users,Morgan,Population served: 28,84018
Bluffdale Water System,Bluffdale,"Population served: 15,400",84020
Cottonwood Coves Inc.,Murray,Population served: 250,84020
Draper City Water System,Draper,"Population served: 17,500",84020
Hobble Creek Haven Development,Springville,Population served: 151,84020
South Jordan City,South Jordan,"Population served: 57,067",84020
Spring Lake,Payson,Population served: 475,84020
Utah State Hospital,Provo,Population served: 800,84020
Va Medical Center Slc,Salt Lake City,"Population served: 5,550",84020
Vineyard City,Vineyard,"Population served: 14,492",84020
Vivian Park Homeowners,Provo,Population served: 365,84020
Webb Well Water Users,Bluffdale,Population served: 250,84020
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84021
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84021
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84021
Duchesne Water System,Duchesne,"Population served: 1,900",84021
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84021
Pinion Forest Ssd,Duchesne,Population served: 640,84021
South Duchesne Culinary Water,Duchesne,Population served: 525,84021
Tabiona Town Water System,Tabiona,Population served: 350,84021
Erda Acres Water Company,Tooele,Population served: 950,84022
Ophir Canyon Water Assocation,Ophir,Population served: 101,84022
Oquirrh Mountain Water Company,Tooele,"Population served: 1,506",84022
Wendover City Water System,Wendover,"Population served: 1,400",84022
Greendale Water Company,Dutch John,Population served: 467,84023
Echo Mutual Water System,Echo,Population served: 70,84024
Hoytsville Pipe Water Company,Coalville,Population served: 440,84024
,,Population served: 0,84024
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84025
Kaysville City Water System,Kaysville,"Population served: 27,300",84025
Mutton Hollow Improvement District,Kaysville,Population served: 740,84025
Sunset City Water System,Sunset,"Population served: 5,300",84025
Weber Basin Job Corps,Ogden,Population served: 230,84025
Ballard Water Improvement District,Ballard,"Population served: 1,005",84026
Jensen Water Improvement District,Jensen,"Population served: 1,375",84026
Johnson Water District - Independence,Roosevelt,Population served: 138,84026
Pine Meadows PUD,South Jordan,Population served: 224,84026
Vernal City Water System,Vernal,"Population served: 11,000",84026
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84027
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84027
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84027
Duchesne Water System,Duchesne,"Population served: 1,900",84027
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84027
Pinion Forest Ssd,Duchesne,Population served: 640,84027
South Duchesne Culinary Water,Duchesne,Population served: 525,84027
Tabiona Town Water System,Tabiona,Population served: 350,84027
Erda Acres Water Company,Tooele,Population served: 950,84029
Ophir Canyon Water Assocation,Ophir,Population served: 101,84029
Oquirrh Mountain Water Company,Tooele,"Population served: 1,506",84029
Wendover City Water System,Wendover,"Population served: 1,400",84029
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84031
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84031
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84031
Duchesne Water System,Duchesne,"Population served: 1,900",84031
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84031
Pinion Forest Ssd,Duchesne,Population served: 640,84031
South Duchesne Culinary Water,Duchesne,Population served: 525,84031
Tabiona Town Water System,Tabiona,Population served: 350,84031
Center Creek Water System,Heber City,Population served: 200,84032
Country Estates Mobile Home Park,Wallsburg,Population served: 200,84032
Hideout Town Water System,Hideout,Population served: 900,84032
North Village Special Service District,Heber City,"Population served: 1,025",84032
Echo Mutual Water System,Echo,Population served: 70,84033
Hoytsville Pipe Water Company,Coalville,Population served: 440,84033
,,Population served: 0,84033
Erda Acres Water Company,Tooele,Population served: 950,84034
Ophir Canyon Water Assocation,Ophir,Population served: 101,84034
Oquirrh Mountain Water Company,Tooele,"Population served: 1,506",84034
Wendover City Water System,Wendover,"Population served: 1,400",84034
Ballard Water Improvement District,Ballard,"Population served: 1,005",84035
Jensen Water Improvement District,Jensen,"Population served: 1,375",84035
Johnson Water District - Independence,Roosevelt,Population served: 138,84035
Pine Meadows PUD,South Jordan,Population served: 224,84035
Vernal City Water System,Vernal,"Population served: 11,000",84035
Center Creek Water System,Heber City,Population served: 200,84036
Country Estates Mobile Home Park,Wallsburg,Population served: 200,84036
Echo Mutual Water System,Echo,Population served: 70,84036
Hideout Town Water System,Hideout,Population served: 900,84036
Hoytsville Pipe Water Company,Coalville,Population served: 440,84036
North Village Special Service District,Heber City,"Population served: 1,025",84036
,,Population served: 0,84036
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84037
Kaysville City Water System,Kaysville,"Population served: 27,300",84037
Mutton Hollow Improvement District,Kaysville,Population served: 740,84037
Sunset City Water System,Sunset,"Population served: 5,300",84037
Weber Basin Job Corps,Ogden,Population served: 230,84037
Ballard Water Improvement District,Ballard,"Population served: 1,005",84039
Jensen Water Improvement District,Jensen,"Population served: 1,375",84039
Johnson Water District - Independence,Roosevelt,Population served: 138,84039
Pine Meadows PUD,South Jordan,Population served: 224,84039
Vernal City Water System,Vernal,"Population served: 11,000",84039
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84040
Kaysville City Water System,Kaysville,"Population served: 27,300",84040
Mutton Hollow Improvement District,Kaysville,Population served: 740,84040
Sunset City Water System,Sunset,"Population served: 5,300",84040
Weber Basin Job Corps,Ogden,Population served: 230,84040
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84041
Kaysville City Water System,Kaysville,"Population served: 27,300",84041
Mutton Hollow Improvement District,Kaysville,Population served: 740,84041
Sunset City Water System,Sunset,"Population served: 5,300",84041
Weber Basin Job Corps,Ogden,Population served: 230,84041
Hobble Creek Haven Development,Springville,Population served: 151,84042
Spring Lake,Payson,Population served: 475,84042
Utah State Hospital,Provo,Population served: 800,84042
Vineyard City,Vineyard,"Population served: 14,492",84042
Vivian Park Homeowners,Provo,Population served: 365,84042
Hobble Creek Haven Development,Springville,Population served: 151,84043
Spring Lake,Payson,Population served: 475,84043
Utah State Hospital,Provo,Population served: 800,84043
Vineyard City,Vineyard,"Population served: 14,492",84043
Vivian Park Homeowners,Provo,Population served: 365,84043
Salt Lake City Water System,"Salt Lake City, UT","Population served:343,850",84044
Granger - Hunter Improvement District,"West Valley City, UT","Population served:121,083",84044
Hobble Creek Haven Development,Springville,Population served: 151,84045
Spring Lake,Payson,Population served: 475,84045
Utah State Hospital,Provo,Population served: 800,84045
Vineyard City,Vineyard,"Population served: 14,492",84045
Vivian Park Homeowners,Provo,Population served: 365,84045
Greendale Water Company,Dutch John,Population served: 467,84046
Jordan Valley Water Conservancy District,"West Jordan, UT","Population served:82,500",84047
Sandy City Water System,"Sandy, UT","Population served:99,750",84047
Salt Lake City Water System,"Salt Lake City, UT","Population served:343,850",84047
Murray City Water System,"Murray, UT","Population served:36,000",84047
Murray City Water System,"Murray, UT","Population served:36,000",84047
Salt Lake City Water System,"Salt Lake City, UT","Population served:343,850",84047
West Jordan City Water System,"West Jordan, UT","Population served:113,699",84047
Center Creek Water System,Heber City,Population served: 200,84049
Country Estates Mobile Home Park,Wallsburg,Population served: 200,84049
Hideout Town Water System,Hideout,Population served: 900,84049
North Village Special Service District,Heber City,"Population served: 1,025",84049
Hidden Hollow Water Company,Morgan,Population served: 45,84050
South Robinson Springs Water Users,Morgan,Population served: 28,84050
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84051
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84051
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84051
Duchesne Water System,Duchesne,"Population served: 1,900",84051
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84051
Pinion Forest Ssd,Duchesne,Population served: 640,84051
South Duchesne Culinary Water,Duchesne,Population served: 525,84051
Tabiona Town Water System,Tabiona,Population served: 350,84051
Ballard Water Improvement District,Ballard,"Population served: 1,005",84052
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84052
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84052
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84052
Duchesne Water System,Duchesne,"Population served: 1,900",84052
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84052
Jensen Water Improvement District,Jensen,"Population served: 1,375",84052
Johnson Water District - Independence,Roosevelt,Population served: 138,84052
Pine Meadows PUD,South Jordan,Population served: 224,84052
Pinion Forest Ssd,Duchesne,Population served: 640,84052
South Duchesne Culinary Water,Duchesne,Population served: 525,84052
Tabiona Town Water System,Tabiona,Population served: 350,84052
Vernal City Water System,Vernal,"Population served: 11,000",84052
Cedarview Montwell Special Service District,Roosevelt,Population served: 402,84053
Duchesne Company Water Conservancy District,Roosevelt,Population served: 0,84053
Duchesne County Upper Country Water Improvement District,Altamont,"Population served: 2,100",84053
Duchesne Water System,Duchesne,"Population served: 1,900",84053
East Duchesne Culinary Water Improvement District,Duchesne,Population served: 600,84053
Pinion Forest Ssd,Duchesne,Population served: 640,84053
South Duchesne Culinary Water,Duchesne,Population served: 525,84053
Tabiona Town Water System,Tabiona,Population served: 350,84053
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84054
Kaysville City Water System,Kaysville,"Population served: 27,300",84054
Mutton Hollow Improvement District,Kaysville,Population served: 740,84054
Sunset City Water System,Sunset,"Population served: 5,300",84054
Weber Basin Job Corps,Ogden,Population served: 230,84054
Echo Mutual Water System,Echo,Population served: 70,84055
Hoytsville Pipe Water Company,Coalville,Population served: 440,84055
,,Population served: 0,84055
Boyer Hill Military Housing,Hill AFB,"Population served: 3,300",84056
Kaysville City Water System,Kaysville,"Population served: 27,300",84056
Mutton Hollow Improvement District,Kaysville,Population served: 740,84056
Sunset City Water System,Sunset,"Population served: 5,300",84056
Weber Basin Job Corps,Ogden,Population served: 230,84056
Hobble Creek Haven Development,Springville,Population served: 151,84057
Spring Lake,Payson,Population served: 475,84057
Utah State Hospital,Provo,Population served: 800,84057
Vineyard City,Vineyard,"Population served: 14,492",84057
Vivian Park Homeowners,Provo,Population served: 365,84057
Hobble Creek Haven Development,Springville,Population served: 151,84058
Spring Lake,Payson,Population served: 475,84058
Utah State Hospital,Provo,Population served: 800,84058
Vineyard City,Vineyard,"Population served: 14,492",84058
Vivian Park Homeowners,Provo,Population served: 365,84058
Hobble Creek Haven Development,Springville,Population served: 151,84059
Spring Lake,Payson,Population served: 475,84059
Utah State Hospital,Provo,Population served: 800,84059
