Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Hartford Water Authority,Bromodichloromethane,0.571 ppb,0.06 ppb,
Hartford Water Authority,Chloroform,1.21 ppb,0.4 ppb,
Hartford Water Authority,Dibromochloromethane,0.257 ppb,0.1 ppb,
Hartford Water Authority,Dichloroacetic acid,0.640 ppb,0.2 ppb,
Hartford Water Authority,Haloacetic acids (HAA5)†,0.880 ppb,0.1 ppb,60 ppb
Hartford Water Authority,"Radium, combined (-226 &amp; -228)",1.12 pCi/L,0.05 pCi/L,5 pCi/L
Hartford Water Authority,Total trihalomethanes (TTHMs)†,2.86 ppb,0.15 ppb,80 ppb
Hartford Water Authority,Trichloroacetic acid,0.240 ppb,0.1 ppb,
Hartford Water Authority,None,,,
Ludlow Village Water Department,Bromodichloromethane,1.41 ppb,0.06 ppb,
Ludlow Village Water Department,Chloroform,2.26 ppb,0.4 ppb,
Ludlow Village Water Department,Dibromochloromethane,0.938 ppb,0.1 ppb,
Ludlow Village Water Department,Nitrate,0.350 ppm,0.14 ppm,10 ppm
Ludlow Village Water Department,Total trihalomethanes (TTHMs)†,5.53 ppb,0.15 ppb,80 ppb
Ludlow Village Water Department,Fluoride,0.623 ppm,,4 ppm
Ludlow Village Water Department,None,,,
Woodstock Aqueduct Corporation,Bromodichloromethane,0.650 ppb,0.06 ppb,
Woodstock Aqueduct Corporation,Dibromochloromethane,0.988 ppb,0.1 ppb,
Woodstock Aqueduct Corporation,Nitrate,0.767 ppm,0.14 ppm,10 ppm
Woodstock Aqueduct Corporation,"Radium, combined (-226 &amp; -228)",0.44 pCi/L,0.05 pCi/L,5 pCi/L
Woodstock Aqueduct Corporation,Total trihalomethanes (TTHMs)†,3.15 ppb,0.15 ppb,80 ppb
Woodstock Aqueduct Corporation,Bromoform,0.488 ppb,0.5 ppb,
Woodstock Aqueduct Corporation,Chloroform,0.238 ppb,0.4 ppb,
Woodstock Aqueduct Corporation,None,,,
Windsor Water Department,Dibromochloromethane,0.300 ppb,0.1 ppb,
Windsor Water Department,"Radium, combined (-226 &amp; -228)",0.24 pCi/L,0.05 pCi/L,5 pCi/L
Windsor Water Department,Total trihalomethanes (TTHMs)†,1.27 ppb,0.15 ppb,80 ppb
Windsor Water Department,Bromoform,0.538 ppb,0.5 ppb,
Windsor Water Department,Chloroform,0.125 ppb,0.4 ppb,
Windsor Water Department,Nitrate,0.117 ppm,0.14 ppm,10 ppm
Windsor Water Department,None,,,
Armstrongs Mobile Home Park,Nitrate,1.52 ppm,0.14 ppm,10 ppm
Armstrongs Mobile Home Park,None,,,
Bradford Village Public Water System,Arsenic,0.538 ppb,0.004 ppb,10 ppb
Bradford Village Public Water System,Bromodichloromethane,7.36 ppb,0.06 ppb,
Bradford Village Public Water System,Chloroform,8.06 ppb,0.4 ppb,
Bradford Village Public Water System,Dibromoacetic acid,0.175 ppb,0.04 ppb,
Bradford Village Public Water System,Dibromochloromethane,5.39 ppb,0.1 ppb,
Bradford Village Public Water System,Dichloroacetic acid,1.47 ppb,0.2 ppb,
Bradford Village Public Water System,Nitrate,0.600 ppm,0.14 ppm,10 ppm
Bradford Village Public Water System,Nitrate and nitrite,0.600 ppm,0.14 ppm,10 ppm
Bradford Village Public Water System,Total trihalomethanes (TTHMs)†,21.5 ppb,0.15 ppb,80 ppb
Bradford Village Public Water System,Trichloroacetic acid,1.34 ppb,0.1 ppb,
Bradford Village Public Water System,Barium,88.6 ppb,700 ppb,"2,000 ppb"
Bradford Village Public Water System,Bromoform,0.969 ppb,0.5 ppb,
Bradford Village Public Water System,Fluoride,0.545 ppm,,4 ppm
Bradford Village Public Water System,None,,,
Chelsea Elderly Housing,"Radium, combined (-226 &amp; -228)",0.36 pCi/L,0.05 pCi/L,5 pCi/L
Chelsea Elderly Housing,Fluoride,0.355 ppm,,4 ppm
Chelsea Elderly Housing,Manganese,14.3 ppb,100 ppb,
Chelsea Elderly Housing,None,,,
Chelsea Family Housing,Bromodichloromethane,0.600 ppb,0.06 ppb,
Chelsea Family Housing,Chloroform,1.000 ppb,0.4 ppb,
Chelsea Family Housing,"Radium, combined (-226 &amp; -228)",0.22 pCi/L,0.05 pCi/L,5 pCi/L
Chelsea Family Housing,Total trihalomethanes (TTHMs)†,2.67 ppb,0.15 ppb,80 ppb
Chelsea Family Housing,Barium,30.0 ppb,700 ppb,"2,000 ppb"
Chelsea Family Housing,Dichloroacetic acid,0.333 ppb,0.2 ppb,
Chelsea Family Housing,Xylenes (total),0.233 ppb,"1,800 ppb","10,000 ppb"
Chelsea Family Housing,None,,,
Chelsea Water Supply,Bromodichloromethane,12.3 ppb,0.06 ppb,
Chelsea Water Supply,Chloroform,39.3 ppb,0.4 ppb,
Chelsea Water Supply,Chromium (hexavalent)*,2.41 ppb,0.02 ppb,
Chelsea Water Supply,Dibromoacetic acid,0.977 ppb,0.04 ppb,
Chelsea Water Supply,Dibromochloromethane,6.12 ppb,0.1 ppb,
Chelsea Water Supply,Dichloroacetic acid,5.65 ppb,0.2 ppb,
Chelsea Water Supply,Haloacetic acids (HAA5)†,14.8 ppb,0.1 ppb,60 ppb
Chelsea Water Supply,Haloacetic acids (HAA9)*†,11.5 ppb,0.06 ppb,
Chelsea Water Supply,Total trihalomethanes (TTHMs)†,58.2 ppb,0.15 ppb,80 ppb
Chelsea Water Supply,Trichloroacetic acid,6.06 ppb,0.1 ppb,
Chelsea Water Supply,Bromoform,0.528 ppb,0.5 ppb,
Chelsea Water Supply,Chromium (total)*,2.39 ppb,,100 ppb
Chelsea Water Supply,Di(2-ethylhexyl) phthalate*,0.880 ppb,3 ppb,6 ppb
Chelsea Water Supply,Manganese*,0.300 ppb,100 ppb,
Chelsea Water Supply,Molybdenum*,0.258 ppb,40 ppb,
Chelsea Water Supply,Monobromoacetic acid,0.0515 ppb,25 ppb,
Chelsea Water Supply,Monochloroacetic acid,2.02 ppb,53 ppb,
Chelsea Water Supply,Nitrate*,0.217 ppm,0.14 ppm,10 ppm
Chelsea Water Supply,Strontium*,0.0634 ppb,"1,500 ppb",
Chelsea Water Supply,Vanadium*,0.875 ppb,21 ppb,
East Thetford Water Company,Bromodichloromethane,0.140 ppb,0.06 ppb,
East Thetford Water Company,Total trihalomethanes (TTHMs)†,1.18 ppb,0.15 ppb,80 ppb
East Thetford Water Company,Chloroform,0.330 ppb,0.4 ppb,
East Thetford Water Company,Dibromochloromethane,0.0600 ppb,0.1 ppb,
East Thetford Water Company,Manganese,74.0 ppb,100 ppb,
East Thetford Water Company,Toluene,3.17 ppb,150 ppb,"1,000 ppb"
East Thetford Water Company,None,,,
Fairlee Town Water,"Radium, combined (-226 &amp; -228)",2.29 pCi/L,0.05 pCi/L,5 pCi/L
Fairlee Town Water,Bromoform,0.0636 ppb,0.5 ppb,
Fairlee Town Water,Dibromochloromethane,0.109 ppb,0.1 ppb,
Fairlee Town Water,Manganese,194.3 ppb,100 ppb,
Fairlee Town Water,MTBE,1.05 ppb,13 ppb,
Fairlee Town Water,Total trihalomethanes (TTHMs)†,0.280 ppb,0.15 ppb,80 ppb
Fairlee Town Water,None,,,
Greenes Mobile Home Park,Nitrate,0.204 ppm,0.14 ppm,10 ppm
Greenes Mobile Home Park,None,,,
Limehurst Mobile Home Park,Nitrate,0.552 ppm,0.14 ppm,10 ppm
Limehurst Mobile Home Park,Nitrate and nitrite,0.550 ppm,0.14 ppm,10 ppm
Limehurst Mobile Home Park,"Radium, combined (-226 &amp; -228)",1.57 pCi/L,0.05 pCi/L,5 pCi/L
Limehurst Mobile Home Park,Manganese,10.00 ppb,100 ppb,
Limehurst Mobile Home Park,None,,,
Mobile Acres Mobile Home Park,Nitrate,1.83 ppm,0.14 ppm,10 ppm
Mobile Acres Mobile Home Park,None,,,
Newbury Village Inc.,Bromodichloromethane,2.56 ppb,0.06 ppb,
Newbury Village Inc.,Chloroform,37.2 ppb,0.4 ppb,
Newbury Village Inc.,Dichloroacetic acid,14.4 ppb,0.2 ppb,
Newbury Village Inc.,Haloacetic acids (HAA5)†,33.8 ppb,0.1 ppb,60 ppb
Newbury Village Inc.,"Radium, combined (-226 &amp; -228)",0.26 pCi/L,0.05 pCi/L,5 pCi/L
Newbury Village Inc.,Total trihalomethanes (TTHMs)†,49.0 ppb,0.15 ppb,80 ppb
Newbury Village Inc.,Trichloroacetic acid,19.4 ppb,0.1 ppb,
Newbury Village Inc.,Barium,20.0 ppb,700 ppb,"2,000 ppb"
Newbury Village Inc.,Fluoride,0.465 ppm,,4 ppm
Newbury Village Inc.,None,,,
Randolph Center Water System,Nitrate,1.70 ppm,0.14 ppm,10 ppm
Randolph Center Water System,"Radium, combined (-226 &amp; -228)",0.34 pCi/L,0.05 pCi/L,5 pCi/L
Randolph Center Water System,Chloroform,0.0500 ppb,0.4 ppb,
Randolph Center Water System,Total trihalomethanes (TTHMs)†,0.0833 ppb,0.15 ppb,80 ppb
Randolph Center Water System,None,,,
Randolph Village,Bromodichloromethane,1.51 ppb,0.06 ppb,
Randolph Village,Chloroform,1.82 ppb,0.4 ppb,
Randolph Village,Dibromochloromethane,1.21 ppb,0.1 ppb,
Randolph Village,Manganese,337.5 ppb,100 ppb,
Randolph Village,Total trihalomethanes (TTHMs)†,8.40 ppb,0.15 ppb,80 ppb
Randolph Village,Bromoform,0.500 ppb,0.5 ppb,
Randolph Village,Fluoride,0.582 ppm,,4 ppm
Randolph Village,Nitrate,0.250 ppm,0.14 ppm,10 ppm
Randolph Village,None,,,
East Thetford Water Company,Bromodichloromethane,0.140 ppb,0.06 ppb,
East Thetford Water Company,Total trihalomethanes (TTHMs)†,1.18 ppb,0.15 ppb,80 ppb
East Thetford Water Company,Chloroform,0.330 ppb,0.4 ppb,
East Thetford Water Company,Dibromochloromethane,0.0600 ppb,0.1 ppb,
East Thetford Water Company,Manganese,74.0 ppb,100 ppb,
East Thetford Water Company,Toluene,3.17 ppb,150 ppb,"1,000 ppb"
East Thetford Water Company,None,,,
Union Water Company,Bromodichloromethane,0.980 ppb,0.06 ppb,
Union Water Company,Chloroform,5.56 ppb,0.4 ppb,
Union Water Company,Haloacetic acids (HAA5)†,1.50 ppb,0.1 ppb,60 ppb
Union Water Company,"Radium, combined (-226 &amp; -228)",0.62 pCi/L,0.05 pCi/L,5 pCi/L
Union Water Company,Total trihalomethanes (TTHMs)†,11.1 ppb,0.15 ppb,80 ppb
Union Water Company,Trichloroacetic acid,1.50 ppb,0.1 ppb,
Union Water Company,Dibromochloromethane,0.1000 ppb,0.1 ppb,
Union Water Company,Nitrate,0.0857 ppm,0.14 ppm,10 ppm
