State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
VT,Ludlow VT,5001.0,Ludlow Village Water Department,2818,Bromodichloromethane,1.41,0.06,0,ppb,23.5
VT,Ludlow VT,5001.0,Ludlow Village Water Department,2818,Chloroform,2.26,0.4,0,ppb,5.6499999999999995
VT,Ludlow VT,5001.0,Ludlow Village Water Department,2818,Dibromochloromethane,0.938,0.1,0,ppb,9.379999999999999
VT,Ludlow VT,5001.0,Ludlow Village Water Department,2818,Nitrate,0.35,0.14,10,ppm,2.4999999999999996
VT,Ludlow VT,5001.0,Ludlow Village Water Department,2818,Total trihalomethanes (TTHMs)†,5.53,0.15,80,ppb,36.86666666666667
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Bromodichloromethane,0.65,0.06,0,ppb,10.833333333333334
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Dibromochloromethane,0.988,0.1,0,ppb,9.879999999999999
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Nitrate,0.767,0.14,10,ppm,5.478571428571428
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Radium combined (-226 &amp; -228),0.44,0.05,5,pCi/L,8.799999999999999
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Total trihalomethanes (TTHMs)†,3.15,0.15,80,ppb,21.0
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Bromoform,0.488,0.5,0,ppb,0.976
VT,Woodstock VT,5001.0,Woodstock Aqueduct Corporation,2473,Chloroform,0.238,0.4,0,ppb,0.595
VT,Windsor VT,5001.0,Windsor Water Department,2350,Dibromochloromethane,0.3,0.1,0,ppb,2.9999999999999996
VT,Windsor VT,5001.0,Windsor Water Department,2350,Radium combined (-226 &amp; -228),0.24,0.05,5,pCi/L,4.8
VT,Windsor VT,5001.0,Windsor Water Department,2350,Total trihalomethanes (TTHMs)†,1.27,0.15,80,ppb,8.466666666666667
VT,Windsor VT,5001.0,Windsor Water Department,2350,Bromoform,0.538,0.5,0,ppb,1.076
VT,Windsor VT,5001.0,Windsor Water Department,2350,Chloroform,0.125,0.4,0,ppb,0.3125
VT,Windsor VT,5001.0,Windsor Water Department,2350,Nitrate,0.117,0.14,10,ppm,0.8357142857142856
VT,Randolph,5033.0,Armstrongs Mobile Home Park,45,Nitrate,1.52,0.14,10,ppm,10.857142857142856
VT,Waitsfield,5033.0,Chelsea Elderly Housing,68,Radium combined (-226 &amp; -228),0.36,0.05,5,pCi/L,7.199999999999999
VT,Waitsfield,5033.0,Chelsea Elderly Housing,68,Manganese,14.3,100.0,0,ppb,0.14300000000000002
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Bromodichloromethane,0.6,0.06,0,ppb,10.0
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Chloroform,1.0,0.4,0,ppb,2.5
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Radium combined (-226 &amp; -228),0.22,0.05,5,pCi/L,4.3999999999999995
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Total trihalomethanes (TTHMs)†,2.67,0.15,80,ppb,17.8
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Barium,30.0,700.0,2000,ppb,0.04285714285714286
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Dichloroacetic acid,0.333,0.2,0,ppb,1.665
VT,Waitsfield,5033.0,Chelsea Family Housing,44,Xylenes (total),0.233,1800.0,10000,ppb,0.00012944444444444445
VT,East Thetford,5033.0,East Thetford Water Company,250,Bromodichloromethane,0.14,0.06,0,ppb,2.3333333333333335
VT,East Thetford,5033.0,East Thetford Water Company,250,Total trihalomethanes (TTHMs)†,1.18,0.15,80,ppb,7.866666666666666
VT,East Thetford,5033.0,East Thetford Water Company,250,Chloroform,0.33,0.4,0,ppb,0.825
VT,East Thetford,5033.0,East Thetford Water Company,250,Dibromochloromethane,0.06,0.1,0,ppb,0.6
VT,East Thetford,5033.0,East Thetford Water Company,250,Manganese,74.0,100.0,0,ppb,0.74
VT,East Thetford,5033.0,East Thetford Water Company,250,Toluene,3.17,150.0,1000,ppb,0.021133333333333334
VT,East Thetford,5033.0,East Thetford Water Company,250,Bromodichloromethane,0.14,0.06,0,ppb,2.3333333333333335
VT,East Thetford,5033.0,East Thetford Water Company,250,Total trihalomethanes (TTHMs)†,1.18,0.15,80,ppb,7.866666666666666
VT,East Thetford,5033.0,East Thetford Water Company,250,Chloroform,0.33,0.4,0,ppb,0.825
VT,East Thetford,5033.0,East Thetford Water Company,250,Dibromochloromethane,0.06,0.1,0,ppb,0.6
VT,East Thetford,5033.0,East Thetford Water Company,250,Manganese,74.0,100.0,0,ppb,0.74
VT,East Thetford,5033.0,East Thetford Water Company,250,Toluene,3.17,150.0,1000,ppb,0.021133333333333334
VT,Fairlee,5033.0,Fairlee Town Water,967,Radium combined (-226 &amp; -228),2.29,0.05,5,pCi/L,45.8
VT,Fairlee,5033.0,Fairlee Town Water,967,Bromoform,0.0636,0.5,0,ppb,0.1272
