Utility name,City,People served,Zip
Springfield Water Department,"Springfield, VT","Population served:9,800",05001
Hartford Water Department,"White River Jct, VT","Population served:7,600",05001
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05001
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05001
Windsor Water Department,"Windsor, VT","Population served:2,350",05001
Armstrongs Mobile Home Park,Randolph,Population served: 45,05033
Bradford Village Water System,Bradford,"Population served: 1,512",05033
Chelsea Elderly Housing,Waitsfield,Population served: 68,05033
Chelsea Family Housing,Waitsfield,Population served: 44,05033
Chelsea Water System,Chelsea,Population served: 450,05033
East Thetford Water Company,East Thetford,Population served: 250,05033
Fairlee Town Water,Fairlee,Population served: 967,05033
Greenes Mobile Home Park,East Barre,Population served: 39,05033
Limehurst Mobile Home Park,Barre,Population served: 87,05033
Mobile Acres Mobile Home Park,Montpelier,Population served: 252,05033
Newbury Village Inc.,Newbury,Population served: 480,05033
Randolph Center Water System,Randolph Ctr,"Population served: 1,138",05033
Randolph Village,Randolph,"Population served: 2,700",05033
Thetford Water Co-op Inc.,Thetford,Population served: 115,05033
Union Water Company,Thetford Ctr,Population served: 61,05033
Washington Fire District,Washington,Population served: 170,05033
Washington North Mobile Home Park,Trumbull,Population served: 63,05033
Wells River Water System,Wells River,Population served: 490,05033
West Fairlee Mobile Home Park,Wilder,Population served: 50,05033
Williamstown Water Department,Williamstown,Population served: 985,05033
Barnet Fire District #2,Barnet,Population served: 205,05042
Burke Fire District 1,East Burke,Population served: 142,05042
Danville Fire District 1,Danville,Population served: 450,05042
East Hardwick Fire District 1,East Hardwick,Population served: 350,05042
Hardwick Town Water System,Hardwick,"Population served: 1,900",05042
Karme Choling,Barnet,Population served: 140,05042
Lyn Haven Fire District 1,Lyndonville,Population served: 100,05042
Lyndonville Water System,Lyndonville,"Population served: 4,500",05042
Mcindoe Falls Fire District 3,Mcindoe Falls,Population served: 176,05042
Northeast Kingdom Mobile Home Park,Lyndonville,Population served: 156,05042
Passumpsic Fire District 1,St Johnsbury,Population served: 140,05042
Peacham Fire District 1,Peacham,Population served: 150,05042
Qburke Mountain Resort LLC,East Burke,"Population served: 1,058",05042
Ryegate Fire District 2,E Ryegate,Population served: 131,05042
Sheffield Fire District 1,Concord,Population served: 50,05042
