Utility name,City,People served,Zip
Springfield Water Department,"Springfield, VT","Population served:9,800",05001
Hartford Water Department,"White River Jct, VT","Population served:7,600",05001
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05001
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05001
Windsor Water Department,"Windsor, VT","Population served:2,350",05001
Springfield Water Department,"Springfield, VT","Population served:9,800",05009
Hartford Water Department,"White River Jct, VT","Population served:7,600",05009
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05009
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05009
Windsor Water Department,"Windsor, VT","Population served:2,350",05009
Springfield Water Department,"Springfield, VT","Population served:9,800",05030
Hartford Water Department,"White River Jct, VT","Population served:7,600",05030
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05030
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05030
Windsor Water Department,"Windsor, VT","Population served:2,350",05030
Springfield Water Department,"Springfield, VT","Population served:9,800",05031
Hartford Water Department,"White River Jct, VT","Population served:7,600",05031
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05031
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05031
Windsor Water Department,"Windsor, VT","Population served:2,350",05031
Springfield Water Department,"Springfield, VT","Population served:9,800",05032
Hartford Water Department,"White River Jct, VT","Population served:7,600",05032
Ludlow Village Water Department,"Ludlow, VT","Population served:2,818",05032
Woodstock Aqueduct Corporation,"Woodstock, VT","Population served:2,473",05032
Windsor Water Department,"Windsor, VT","Population served:2,350",05032
Armstrongs Mobile Home Park,Randolph,Population served: 45,05033
Bradford Village Water System,Bradford,"Population served: 1,512",05033
Chelsea Elderly Housing,Waitsfield,Population served: 68,05033
Chelsea Family Housing,Waitsfield,Population served: 44,05033
Chelsea Water System,Chelsea,Population served: 450,05033
East Thetford Water Company,East Thetford,Population served: 250,05033
Fairlee Town Water,Fairlee,Population served: 967,05033
Greenes Mobile Home Park,East Barre,Population served: 39,05033
Limehurst Mobile Home Park,Barre,Population served: 87,05033
Mobile Acres Mobile Home Park,Montpelier,Population served: 252,05033
Newbury Village Inc.,Newbury,Population served: 480,05033
Randolph Center Water System,Randolph Ctr,"Population served: 1,138",05033
Randolph Village,Randolph,"Population served: 2,700",05033
