Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Bains Country Estates Mobile Home Park,Arsenic,3.40 ppb,0.004 ppb,10 ppb
Bains Country Estates Mobile Home Park,Cadmium,0.167 ppb,0.04 ppb,5 ppb
Bains Country Estates Mobile Home Park,"Radium, combined (-226 &amp; -228)",2.67 pCi/L,0.05 pCi/L,5 pCi/L
Bains Country Estates Mobile Home Park,Barium,51.4 ppb,700 ppb,"2,000 ppb"
Bains Country Estates Mobile Home Park,Fluoride,0.383 ppm,,4 ppm
Bains Country Estates Mobile Home Park,Manganese,19.7 ppb,100 ppb,
Bains Country Estates Mobile Home Park,Uranium,0.20 pCi/L,0.43 pCi/L,20 pCi/L
Bains Country Estates Mobile Home Park,None,,,
Cascade Waterworks,Bromodichloromethane,1.15 ppb,0.06 ppb,
Cascade Waterworks,Chloroform,8.93 ppb,0.4 ppb,
Cascade Waterworks,Dichloroacetic acid,4.70 ppb,0.2 ppb,
Cascade Waterworks,Haloacetic acids (HAA5)†,9.68 ppb,0.1 ppb,60 ppb
Cascade Waterworks,"Radium, combined (-226 &amp; -228)",0.16 pCi/L,0.05 pCi/L,5 pCi/L
Cascade Waterworks,Total trihalomethanes (TTHMs)†,13.7 ppb,0.15 ppb,80 ppb
Cascade Waterworks,Trichloroacetic acid,4.85 ppb,0.1 ppb,
Cascade Waterworks,Aluminum,26.1 ppb,600 ppb,
Cascade Waterworks,Barium,91.6 ppb,700 ppb,"2,000 ppb"
Cascade Waterworks,Bromomethane,0.186 ppb,,
Cascade Waterworks,Chloromethane,3.70 ppb,2.69 ppb,
Cascade Waterworks,Chromium (total),0.510 ppb,,100 ppb
Cascade Waterworks,Dibromochloromethane,0.180 ppb,0.1 ppb,
Cascade Waterworks,Fluoride,0.257 ppm,,4 ppm
Cascade Waterworks,Manganese,10.6 ppb,100 ppb,
Cascade Waterworks,Monochloroacetic acid,0.133 ppb,53 ppb,
Cascade Waterworks,Toluene,0.0463 ppb,150 ppb,"1,000 ppb"
Cascade Waterworks,None,,,
