State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Arsenic,3.4,0.004,10,ppb,850.0
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Cadmium,0.167,0.04,5,ppb,4.175
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Radium combined (-226 &amp; -228),2.67,0.05,5,pCi/L,53.4
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Barium,51.4,700.0,2000,ppb,0.07342857142857143
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Manganese,19.7,100.0,0,ppb,0.19699999999999998
WI,Sheboygan Falls,53001.0,Bains Country Estates Mobile Home Park,200,Uranium,0.2,0.43,20,pCi/L,0.4651162790697675
WI,Cascade,53001.0,Cascade Waterworks,703,Bromodichloromethane,1.15,0.06,0,ppb,19.166666666666664
WI,Cascade,53001.0,Cascade Waterworks,703,Chloroform,8.93,0.4,0,ppb,22.325
WI,Cascade,53001.0,Cascade Waterworks,703,Dichloroacetic acid,4.7,0.2,0,ppb,23.5
WI,Cascade,53001.0,Cascade Waterworks,703,Haloacetic acids (HAA5)†,9.68,0.1,60,ppb,96.8
WI,Cascade,53001.0,Cascade Waterworks,703,Radium combined (-226 &amp; -228),0.16,0.05,5,pCi/L,3.1999999999999997
WI,Cascade,53001.0,Cascade Waterworks,703,Total trihalomethanes (TTHMs)†,13.7,0.15,80,ppb,91.33333333333333
WI,Cascade,53001.0,Cascade Waterworks,703,Trichloroacetic acid,4.85,0.1,0,ppb,48.49999999999999
WI,Cascade,53001.0,Cascade Waterworks,703,Aluminum,26.1,600.0,0,ppb,0.043500000000000004
WI,Cascade,53001.0,Cascade Waterworks,703,Barium,91.6,700.0,2000,ppb,0.13085714285714284
WI,Cascade,53001.0,Cascade Waterworks,703,Chloromethane,3.7,2.69,0,ppb,1.3754646840148699
WI,Cascade,53001.0,Cascade Waterworks,703,Dibromochloromethane,0.18,0.1,0,ppb,1.7999999999999998
WI,Cascade,53001.0,Cascade Waterworks,703,Manganese,10.6,100.0,0,ppb,0.106
WI,Cascade,53001.0,Cascade Waterworks,703,Monochloroacetic acid,0.133,53.0,0,ppb,0.002509433962264151
WI,Cascade,53001.0,Cascade Waterworks,703,Toluene,0.0463,150.0,1000,ppb,0.00030866666666666667
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Arsenic,1.22,0.004,10,ppb,305.0
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Bromodichloromethane,2.01,0.06,0,ppb,33.5
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Chloroform,4.18,0.4,0,ppb,10.45
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Dibromoacetic acid,0.12,0.04,0,ppb,3.0
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Dibromochloromethane,0.836,0.1,0,ppb,8.36
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Dichloroacetic acid,1.09,0.2,0,ppb,5.45
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Haloacetic acids (HAA5)†,2.43,0.1,60,ppb,24.3
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Radium combined (-226 &amp; -228),1.15,0.05,5,pCi/L,22.999999999999996
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Total trihalomethanes (TTHMs)†,7.94,0.15,80,ppb,52.93333333333334
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Trichloroacetic acid,1.22,0.1,0,ppb,12.2
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Barium,86.8,700.0,2000,ppb,0.124
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Manganese,19.5,100.0,0,ppb,0.195
WI,Elkhart Lake,53001.0,Elkhart Lake Waterworks,997,Nitrate,0.0101,0.14,10,ppm,0.07214285714285713
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Bromodichloromethane,2.12,0.06,0,ppb,35.333333333333336
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Chloroform,3.42,0.4,0,ppb,8.549999999999999
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Dibromoacetic acid,0.425,0.04,0,ppb,10.625
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Dibromochloromethane,1.54,0.1,0,ppb,15.4
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Dichloroacetic acid,1.4,0.2,0,ppb,6.999999999999999
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Haloacetic acids (HAA5)†,2.16,0.1,60,ppb,21.6
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Nitrate,2.98,0.14,10,ppm,21.285714285714285
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Nitrate and nitrite,1.95,0.14,10,ppm,13.928571428571427
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Radium combined (-226 &amp; -228),0.58,0.05,5,pCi/L,11.599999999999998
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Total trihalomethanes (TTHMs)†,10.8,0.15,80,ppb,72.00000000000001
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Trichloroacetic acid,0.335,0.1,0,ppb,3.35
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Aluminum,5.0,600.0,0,ppb,0.008333333333333333
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Barium,22.5,700.0,2000,ppb,0.03214285714285714
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Bromoform,0.46,0.5,0,ppb,0.92
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Manganese,3.2,100.0,0,ppb,0.032
WI,Glenbeulah,53001.0,Glenbeulah Waterworks,456,Uranium,0.24,0.43,20,pCi/L,0.5581395348837209
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Arsenic,2.18,0.004,10,ppb,545.0
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Bromodichloromethane,0.672,0.06,0,ppb,11.200000000000001
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Dibromoacetic acid,0.34,0.04,0,ppb,8.5
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Dibromochloromethane,0.507,0.1,0,ppb,5.069999999999999
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Haloacetic acids (HAA5)†,0.703,0.1,60,ppb,7.029999999999999
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Nitrate,0.869,0.14,10,ppm,6.207142857142856
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Nitrate and nitrite,0.885,0.14,10,ppm,6.321428571428571
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Radium combined (-226 &amp; -228),0.9,0.05,5,pCi/L,18.0
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Total trihalomethanes (TTHMs)†,1.48,0.15,80,ppb,9.866666666666667
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Barium,52.3,700.0,2000,ppb,0.0747142857142857
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Chloroform,0.726,0.4,0,ppb,1.815
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Dichloroacetic acid,0.25,0.2,0,ppb,1.25
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Manganese,10.1,100.0,0,ppb,0.10099999999999999
WI,Plymouth,53001.0,Kettle Moraine Correctional Institution,1544,Trichloroacetic acid,0.113,0.1,0,ppb,1.13
WI,Kohler,53001.0,Kohler Waterworks,2114,Arsenic*,0.0833,0.004,10,ppb,20.825
WI,Kohler,53001.0,Kohler Waterworks,2114,Bromodichloromethane,7.86,0.06,0,ppb,131.0
WI,Kohler,53001.0,Kohler Waterworks,2114,Chloroform,12.6,0.4,0,ppb,31.499999999999996
WI,Kohler,53001.0,Kohler Waterworks,2114,Chromium (hexavalent)*,0.201,0.02,0,ppb,10.05
WI,Kohler,53001.0,Kohler Waterworks,2114,Dibromoacetic acid,0.516,0.04,0,ppb,12.9
WI,Kohler,53001.0,Kohler Waterworks,2114,Dibromochloromethane,3.36,0.1,0,ppb,33.599999999999994
WI,Kohler,53001.0,Kohler Waterworks,2114,Dichloroacetic acid,4.89,0.2,0,ppb,24.449999999999996
WI,Kohler,53001.0,Kohler Waterworks,2114,Haloacetic acids (HAA5)†,18.2,0.1,60,ppb,181.99999999999997
WI,Kohler,53001.0,Kohler Waterworks,2114,Haloacetic acids (HAA9)*†,23.0,0.06,0,ppb,383.33333333333337
WI,Kohler,53001.0,Kohler Waterworks,2114,Nitrate*,0.392,0.14,10,ppm,2.8
WI,Kohler,53001.0,Kohler Waterworks,2114,Nitrate and nitrite*,0.392,0.14,10,ppm,2.8
WI,Kohler,53001.0,Kohler Waterworks,2114,Total trihalomethanes (TTHMs)†,24.1,0.15,80,ppb,160.66666666666669
WI,Kohler,53001.0,Kohler Waterworks,2114,Trichloroacetic acid,6.77,0.1,0,ppb,67.69999999999999
WI,Kohler,53001.0,Kohler Waterworks,2114,Antimony*,0.0883,1.0,6,ppb,0.0883
WI,Kohler,53001.0,Kohler Waterworks,2114,Atrazine*,0.04,0.1,3,ppb,0.39999999999999997
WI,Kohler,53001.0,Kohler Waterworks,2114,Barium*,18.8,700.0,2000,ppb,0.026857142857142857
WI,Kohler,53001.0,Kohler Waterworks,2114,Bromoform,0.216,0.5,0,ppb,0.432
WI,Kohler,53001.0,Kohler Waterworks,2114,Chlorate*,74.0,210.0,0,ppb,0.3523809523809524
WI,Kohler,53001.0,Kohler Waterworks,2114,Hexachlorocyclopentadiene*,0.02,2.0,50,ppb,0.01
WI,Kohler,53001.0,Kohler Waterworks,2114,Manganese*,0.453,100.0,0,ppb,0.00453
WI,Kohler,53001.0,Kohler Waterworks,2114,Molybdenum*,0.463,40.0,0,ppb,0.011575
WI,Kohler,53001.0,Kohler Waterworks,2114,Monobromoacetic acid,0.172,25.0,0,ppb,0.00688
WI,Kohler,53001.0,Kohler Waterworks,2114,Monochloroacetic acid,5.84,53.0,0,ppb,0.11018867924528301
WI,Kohler,53001.0,Kohler Waterworks,2114,Selenium*,0.1,30.0,50,ppb,0.0033333333333333335
WI,Kohler,53001.0,Kohler Waterworks,2114,Strontium*,0.119,1500.0,0,ppb,7.933333333333333e-05
WI,Kohler,53001.0,Kohler Waterworks,2114,Vanadium*,0.3,21.0,0,ppb,0.014285714285714285
WI,Plymouth,53001.0,Lakeland University,800,Arsenic,3.03,0.004,10,ppb,757.4999999999999
WI,Plymouth,53001.0,Lakeland University,800,Bromodichloromethane,4.27,0.06,0,ppb,71.16666666666666
WI,Plymouth,53001.0,Lakeland University,800,Chloroform,27.7,0.4,0,ppb,69.25
WI,Plymouth,53001.0,Lakeland University,800,Dibromoacetic acid,0.315,0.04,0,ppb,7.875
WI,Plymouth,53001.0,Lakeland University,800,Dibromochloromethane,1.53,0.1,0,ppb,15.299999999999999
WI,Plymouth,53001.0,Lakeland University,800,Dichloroacetic acid,5.06,0.2,0,ppb,25.299999999999997
WI,Plymouth,53001.0,Lakeland University,800,Haloacetic acids (HAA5)†,10.8,0.1,60,ppb,108.0
WI,Plymouth,53001.0,Lakeland University,800,Radium combined (-226 &amp; -228),0.78,0.05,5,pCi/L,15.6
WI,Plymouth,53001.0,Lakeland University,800,Total trihalomethanes (TTHMs)†,41.6,0.15,80,ppb,277.33333333333337
WI,Plymouth,53001.0,Lakeland University,800,Trichloroacetic acid,2.02,0.1,0,ppb,20.2
WI,Plymouth,53001.0,Lakeland University,800,Barium,42.8,700.0,2000,ppb,0.06114285714285714
WI,Plymouth,53001.0,Lakeland University,800,Bromoform,0.1,0.5,0,ppb,0.2
WI,Plymouth,53001.0,Lakeland University,800,Di(2-ethylhexyl) phthalate,0.63,3.0,6,ppb,0.21
WI,Plymouth,53001.0,Lakeland University,800,Ethylbenzene,0.0838,300.0,700,ppb,0.0002793333333333333
WI,Plymouth,53001.0,Lakeland University,800,Manganese,19.5,100.0,0,ppb,0.195
WI,Plymouth,53001.0,Lakeland University,800,Mercury (inorganic),0.05,1.2,2,ppb,0.04166666666666667
WI,Plymouth,53001.0,Lakeland University,800,Monobromoacetic acid,0.0938,25.0,0,ppb,0.0037519999999999997
WI,Plymouth,53001.0,Lakeland University,800,Monochloroacetic acid,3.32,53.0,0,ppb,0.06264150943396227
WI,Plymouth,53001.0,Lakeland University,800,Nitrate,0.0788,0.14,10,ppm,0.5628571428571427
WI,Plymouth,53001.0,Lakeland University,800,Nitrate and nitrite,0.0434,0.14,10,ppm,0.31
WI,Plymouth,53001.0,Lakeland University,800,Selenium,0.2,30.0,50,ppb,0.006666666666666667
WI,Plymouth,53001.0,Lakeland University,800,Uranium,0.63,0.43,20,pCi/L,1.4651162790697674
WI,Plymouth,53001.0,Lakeland University,800,Xylenes (total),0.413,1800.0,10000,ppb,0.00022944444444444444
