Utility name,City,People served,Zip
Adell Waterworks,Adell,Population served: 519,53001
Bains Country Estates Mobile Home Park,Sheboygan Falls,Population served: 200,53001
Cascade Waterworks,Cascade,Population served: 703,53001
Cedar Grove Waterworks,Cedar Grove,"Population served: 2,216",53001
Elkhart Lake Waterworks,Elkhart Lake,Population served: 997,53001
Glenbeulah Waterworks,Glenbeulah,Population served: 456,53001
Kettle Moraine Correctional Institution,Plymouth,"Population served: 1,544",53001
Kohler Waterworks,Kohler,"Population served: 2,114",53001
Lakeland University,Plymouth,Population served: 800,53001
Oostburg Waterworks,Oostburg,"Population served: 2,942",53001
Plymouth Utilities,Plymouth,"Population served: 8,477",53001
Random Lake Waterworks,Random Lake,"Population served: 1,576",53001
Rocky Knoll Health Care Fac,Plymouth,Population served: 154,53001
Sheboygan Falls Utilities,Sheboygan Falls,"Population served: 7,837",53001
Sheboygan Tn Waterworks,Sheboygan,"Population served: 4,008",53001
Sheboygan Water Utilities,Sheboygan,"Population served: 49,288",53001
Waldo Waterworks,Waldo,Population served: 452,53001
West Bend Waterworks,"West Bend, WI","Population served:31,500",53002
Germantown Water Utility,"Germantown, WI","Population served:20,027",53002
Beaver Dam Water Utility,"Beaver Dam, WI","Population served:16,200",53002
Hartford Waterworks,"Hartford, WI","Population served:15,384",53002
Waupun Utilities,"Waupun, WI","Population served:11,340",53002
Beaver Dam Water Utility,Beaver Dam,"Population served: 16,200",53003
Breezy Point Mobile Home Park 1,Horicon,Population served: 25,53003
Breezy Point Mobile Home Park 2,Horicon,Population served: 46,53003
Brownsville Waterworks,Brownsville,Population served: 561,53003
Clyman Waterworks,Clyman,Population served: 422,53003
Fox Lake Correctional Institution,Fox Lake,"Population served: 1,350",53003
Fox Lake Waterworks,Fox Lake,"Population served: 1,512",53003
Hidden Meadows Well 3,Watertown,Population served: 114,53003
Hidden Meadows Wells 2 & 4,Watertown,Population served: 189,53003
Horicon Waterworks,Horicon,"Population served: 3,682",53003
Hustisford Waterworks,Hustisford,"Population served: 1,151",53003
Iron Ridge Waterworks,Iron Ridge,Population served: 937,53003
