State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Haloacetic acids (HAA5)†,4.82,0.1,60,ppb,48.2
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Radium combined (-226 &amp; -228),0.53,0.05,5,pCi/L,10.6
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Total trihalomethanes (TTHMs)†,0.725,0.15,80,ppb,4.833333333333333
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Barium,363.0,700.0,2000,ppb,0.5185714285714286
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Chloroform,0.725,0.4,0,ppb,1.8124999999999998
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Monobromoacetic acid,4.82,25.0,0,ppb,0.1928
WV,Princeton,24701.0,Appalachian Teen Challenge Female Center,30,Nitrate,0.0183,0.14,10,ppm,0.1307142857142857
WV,Athens,24701.0,Athens Town Of,4802,Bromodichloromethane,0.888,0.06,0,ppb,14.8
WV,Athens,24701.0,Athens Town Of,4802,Chloroform,12.7,0.4,0,ppb,31.749999999999996
WV,Athens,24701.0,Athens Town Of,4802,Dichloroacetic acid,4.13,0.2,0,ppb,20.65
WV,Athens,24701.0,Athens Town Of,4802,Haloacetic acids (HAA5)†,9.35,0.1,60,ppb,93.49999999999999
WV,Athens,24701.0,Athens Town Of,4802,Haloacetic acids (HAA9)†,21.4,0.06,0,ppb,356.66666666666663
WV,Athens,24701.0,Athens Town Of,4802,Radium combined (-226 &amp; -228),0.17,0.05,5,pCi/L,3.4
WV,Athens,24701.0,Athens Town Of,4802,Total trihalomethanes (TTHMs)†,13.6,0.15,80,ppb,90.66666666666667
WV,Athens,24701.0,Athens Town Of,4802,Trichloroacetic acid,5.16,0.1,0,ppb,51.6
WV,Athens,24701.0,Athens Town Of,4802,Antimony,0.0346,1.0,6,ppb,0.0346
WV,Athens,24701.0,Athens Town Of,4802,Barium,15.3,700.0,2000,ppb,0.02185714285714286
WV,Athens,24701.0,Athens Town Of,4802,Bromoform,0.00667,0.5,0,ppb,0.01334
WV,Athens,24701.0,Athens Town Of,4802,Dibromoacetic acid,0.0127,0.04,0,ppb,0.3175
WV,Athens,24701.0,Athens Town Of,4802,Dibromochloromethane,0.0106,0.1,0,ppb,0.106
WV,Athens,24701.0,Athens Town Of,4802,Manganese,28.9,100.0,0,ppb,0.289
WV,Athens,24701.0,Athens Town Of,4802,Mercury (inorganic),0.024,1.2,2,ppb,0.02
WV,Athens,24701.0,Athens Town Of,4802,Monochloroacetic acid,0.0604,53.0,0,ppb,0.001139622641509434
WV,Athens,24701.0,Athens Town Of,4802,Nitrate,0.0245,0.14,10,ppm,0.175
WV,Athens,24701.0,Athens Town Of,4802,Selenium,0.286,30.0,50,ppb,0.009533333333333333
WV,Bluefield,24701.0,Bluewell Psd,6216,Arsenic,0.157,0.004,10,ppb,39.25
WV,Bluefield,24701.0,Bluewell Psd,6216,Bromodichloromethane,5.95,0.06,0,ppb,99.16666666666667
WV,Bluefield,24701.0,Bluewell Psd,6216,Chloroform,44.6,0.4,0,ppb,111.5
WV,Bluefield,24701.0,Bluewell Psd,6216,Dibromochloromethane,0.432,0.1,0,ppb,4.319999999999999
WV,Bluefield,24701.0,Bluewell Psd,6216,Dichloroacetic acid,22.1,0.2,0,ppb,110.5
WV,Bluefield,24701.0,Bluewell Psd,6216,Haloacetic acids (HAA5)†,54.6,0.1,60,ppb,546.0
WV,Bluefield,24701.0,Bluewell Psd,6216,Radium combined (-226 &amp; -228)*,0.86,0.05,5,pCi/L,17.2
WV,Bluefield,24701.0,Bluewell Psd,6216,Total trihalomethanes (TTHMs)†,51.0,0.15,80,ppb,340.0
WV,Bluefield,24701.0,Bluewell Psd,6216,Trichloroacetic acid,28.9,0.1,0,ppb,288.99999999999994
WV,Bluefield,24701.0,Bluewell Psd,6216,Antimony,0.1,1.0,6,ppb,0.1
WV,Bluefield,24701.0,Bluewell Psd,6216,Barium,41.9,700.0,2000,ppb,0.05985714285714285
WV,Bluefield,24701.0,Bluewell Psd,6216,Monobromoacetic acid,0.704,25.0,0,ppb,0.028159999999999998
WV,Bluefield,24701.0,Bluewell Psd,6216,Monochloroacetic acid,3.0,53.0,0,ppb,0.05660377358490566
WV,Bluefield,24701.0,Bluewell Psd,6216,Nitrate,0.0886,0.14,10,ppm,0.6328571428571428
WV,Bluefield,24701.0,Bluewell Psd,6216,Nitrate and nitrite*,0.215,0.14,10,ppm,1.5357142857142856
WV,Bluefield,24701.0,Bluewell Psd,6216,p-Dichlorobenzene*,0.0517,6.0,75,ppb,0.008616666666666667
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Bromodichloromethane,6.24,0.06,0,ppb,104.00000000000001
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Chloroform,40.7,0.4,0,ppb,101.75
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Dibromochloromethane,0.525,0.1,0,ppb,5.25
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Dichloroacetic acid,14.6,0.2,0,ppb,73.0
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Haloacetic acids (HAA5)†,35.5,0.1,60,ppb,355.0
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Radium combined (-226 &amp; -228),0.41,0.05,5,pCi/L,8.2
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Total trihalomethanes (TTHMs)†,47.5,0.15,80,ppb,316.6666666666667
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Trichloroacetic acid,17.3,0.1,0,ppb,173.0
WV,Bluefield,24701.0,Green Valley Glenwood Psd Bulltail,1869,Barium,63.8,700.0,2000,ppb,0.09114285714285714
