State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
WY,82001,Restway Travel Park,76,829,56021
WY,82001,Albin Town Of,181,158,56021
WY,82001,Burns Board Of Public Utilities,922,510,56021
WY,82001,Carpenter Water & Sewer District,94,34,56021
WY,82001,Cheyenne Board Public Utilities,58182,1017,56021
WY,82001,Hide-a-way Mobile Village,76,1247,56021
WY,82001,Highland Ranch Estates,50,64,56021
WY,82001,Miller Lower Mobile Home Park,30,831,56021
WY,82001,Kronber,75,1050,56021
WY,82001,Pine Bluffs Town Of,1186,363,56021
WY,82001,South Cheyenne Water and Sewer District,10000,1645,56021
WY,82001,U.s. Air Force F.e. Warren AFB,5500,980,56021
WY,82001,West Winds,663,1057,56021
WY,82001,Winchester Hills,1057,1113,56021
WY,82051,Antelope Ridge Hoa,70,1007,56001
WY,82051,City of Laramie,30899,1993,56001
WY,82051,Nine-mile Water & Sewer District,180,1471,56001
WY,82051,Rock River Town Of,245,807,56001
WY,82051,Seven Mile Water & Sewer District,60,1351,56001
WY,82051,South Laramie W&s District,490,1157,56001
WY,82051,Sunny Meadows Village,485,1278,56001
WY,82063,City of Fort Collins,124262,1093,8069
WY,82063,City of Loveland,75840,1519,8069
WY,82063,Ft Collins Loveland WD,36544,1148,8069
WY,82063,CSU Main and West Housing Campus,27375,984,8069
WY,82082,City of Greeley,108000,1457,56021
WY,82082,City of Evans,19369,1688,56021
WY,82082,North Weld County WD,10640,1361,56021
WY,82082,Firestone Town of,17792,936,56021
WY,82082,Johnstown Town of,17322,1383,56021
WY,82082,Frederick Town of,8972,1129,56021
WY,82082,Ft. Lupton City of,8100,932,56021
WY,82083,Baggs Town Of,350,1433,56001
WY,82083,Dixon Town Of,92,1240,56001
WY,82083,Elk Mountain Town Of,191,553,56001
WY,82083,Encampment Town Of,450,793,56001
WY,82083,Hanna Town Of,841,699,56001
WY,82083,Medicine Bow Town Of,282,123,56001
WY,82083,Rawlins Water Supply City Of,9749,1570,56001
WY,82083,Sierra Madre Jpb,130,1787,56001
WY,82083,Sinclair Town Of,433,1829,56001
WY,82190,Big Valley & Crossed Arrows Imp District,35,10,56029
WY,82190,Cody City Of,9836,580,56029
WY,82190,Juby`s Mobile Home Park,300,551,56029
WY,82190,Meeteetse Town Of,327,1381,56029
WY,82190,Northwest Rural Water District,5998,412,56029
WY,82190,Powell City Of,6700,879,56029
WY,82190,Rivers Bend Trailer Court,100,525,56029
WY,82190,Shoshone Municipal Pipeline,25,564,56029
WY,82190,Ynp-mammoth Hot Springs,2600,821,56029
WY,82201,Chugwater Town Of,200,332,56031
WY,82201,Glendo Town Of,229,811,56031
WY,82201,Guernsey Town Of,1157,29,56031
WY,82201,Hartville Town Of,62,970,56031
WY,82201,Wheatland Town Of,3627,321,56031
WY,82201,Y-o Investments Inc.,180,661,56031
WY,82210,Cottonwood Acres,96,105,56031
WY,82210,Dillman Estates,100,1628,56031
WY,82210,Fort Laramie Town Of,199,979,56031
WY,82210,La Grange Town Of,448,2477,56031
WY,82210,Lingle Town Of,486,1021,56031
WY,82210,Potlatch Trailer Court,70,1654,56031
WY,82210,South Torrington Water District,450,1635,56031
WY,82210,Torrington Municipal Ws,6798,1349,56031
WY,82210,Yoder Town Of,158,84,56031
WY,82222,Lance Creek Water District,45,1204,56027
WY,82222,Lusk Town Of,1576,1289,56027
WY,82224,Douglas Koacg & Pine Meadows Mobile Home Park,165,794,56009
WY,82224,Douglas City Of,6120,1159,56009
WY,82224,Fairway Estates,133,2251,56009
WY,82224,Glenrock Town Of,2466,483,56009
WY,82224,Ridgewater Improvement District,218,792,56009
WY,82224,Rolling Hills Town Of,450,0,56009
WY,82224,Sundance Meadows Special Imp District (smsid,50,1078,56009
WY,82310,A & J Mobile Home Park,100,14,56013
WY,82310,B&k Mobile Home Park,200,1125,56013
WY,82310,City of Riverton,10001,368,56013
WY,82310,Cozy Mobile Home Park,200,0,56013
WY,82310,Dubois Town Of,971,567,56013
WY,82310,Farview Water and Sewer District,60,0,56013
WY,82310,Gardens North Home Owners Association,300,229,56013
WY,82310,Jeffrey City Water & Sewer District,59,1171,56013
