Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Restway Travel Park,Arsenic,3.00 ppb,0.004 ppb,10 ppb
Restway Travel Park,Nitrate,3.84 ppm,0.14 ppm,10 ppm
Restway Travel Park,Nitrate and nitrite,3.84 ppm,0.14 ppm,10 ppm
Restway Travel Park,"Radium, combined (-226 &amp; -228)",0.17 pCi/L,0.05 pCi/L,5 pCi/L
Restway Travel Park,Uranium,8.31 pCi/L,0.43 pCi/L,20 pCi/L
Restway Travel Park,Fluoride,0.500 ppm,,4 ppm
Restway Travel Park,Selenium,2.00 ppb,30 ppb,50 ppb
Restway Travel Park,Total trihalomethanes (TTHMs)†,0.143 ppb,0.15 ppb,80 ppb
Restway Travel Park,None,,,
"Albin, Town Of",Bromochloroacetic acid,0.265 ppb,0.02 ppb,
"Albin, Town Of",Dibromoacetic acid,1.25 ppb,0.04 ppb,
"Albin, Town Of",Dibromochloromethane,0.254 ppb,0.1 ppb,
"Albin, Town Of",Haloacetic acids (HAA5)†,1.25 ppb,0.1 ppb,60 ppb
"Albin, Town Of",Nitrate and nitrite,4.74 ppm,0.14 ppm,10 ppm
"Albin, Town Of","Radium, combined (-226 &amp; -228)",1.73 pCi/L,0.05 pCi/L,5 pCi/L
"Albin, Town Of",Total trihalomethanes (TTHMs)†,0.850 ppb,0.15 ppb,80 ppb
"Albin, Town Of",Uranium,10.03 pCi/L,0.43 pCi/L,20 pCi/L
"Albin, Town Of",Barium,155.6 ppb,700 ppb,"2,000 ppb"
"Albin, Town Of",Bromoform,0.523 ppb,0.5 ppb,
"Albin, Town Of",Cadmium,0 ppb,0.04 ppb,5 ppb
"Albin, Town Of",Chromium (total),0.00556 ppb,,100 ppb
"Albin, Town Of",Fluoride,0.378 ppm,,4 ppm
"Albin, Town Of",Selenium,1.00 ppb,30 ppb,50 ppb
"Albin, Town Of",None,,,
Burns Board Of Public Utilities,Arsenic,0.600 ppb,0.004 ppb,10 ppb
