State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WY,Cheyenne,82001.0,Restway Travel Park,76,Arsenic,3.0,0.004,10,ppb,750.0
WY,Cheyenne,82001.0,Restway Travel Park,76,Nitrate,3.84,0.14,10,ppm,27.428571428571423
WY,Cheyenne,82001.0,Restway Travel Park,76,Nitrate and nitrite,3.84,0.14,10,ppm,27.428571428571423
WY,Cheyenne,82001.0,Restway Travel Park,76,Radium combined (-226 &amp; -228),0.17,0.05,5,pCi/L,3.4
WY,Cheyenne,82001.0,Restway Travel Park,76,Uranium,8.31,0.43,20,pCi/L,19.325581395348838
WY,Cheyenne,82001.0,Restway Travel Park,76,Selenium,2.0,30.0,50,ppb,0.06666666666666667
WY,Cheyenne,82001.0,Restway Travel Park,76,Total trihalomethanes (TTHMs)†,0.143,0.15,80,ppb,0.9533333333333333
WY,Albin,82001.0,Albin Town Of,181,Bromochloroacetic acid,0.265,0.02,0,ppb,13.25
WY,Albin,82001.0,Albin Town Of,181,Dibromoacetic acid,1.25,0.04,0,ppb,31.25
WY,Albin,82001.0,Albin Town Of,181,Dibromochloromethane,0.254,0.1,0,ppb,2.54
WY,Albin,82001.0,Albin Town Of,181,Haloacetic acids (HAA5)†,1.25,0.1,60,ppb,12.5
WY,Albin,82001.0,Albin Town Of,181,Nitrate and nitrite,4.74,0.14,10,ppm,33.857142857142854
WY,Albin,82001.0,Albin Town Of,181,Radium combined (-226 &amp; -228),1.73,0.05,5,pCi/L,34.599999999999994
WY,Albin,82001.0,Albin Town Of,181,Total trihalomethanes (TTHMs)†,0.85,0.15,80,ppb,5.666666666666667
WY,Albin,82001.0,Albin Town Of,181,Uranium,10.03,0.43,20,pCi/L,23.325581395348838
WY,Albin,82001.0,Albin Town Of,181,Barium,155.6,700.0,2000,ppb,0.22228571428571428
WY,Albin,82001.0,Albin Town Of,181,Bromoform,0.523,0.5,0,ppb,1.046
WY,Albin,82001.0,Albin Town Of,181,Cadmium,0.0,0.04,5,ppb,0.0
WY,Albin,82001.0,Albin Town Of,181,Selenium,1.0,30.0,50,ppb,0.03333333333333333
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Arsenic,0.6,0.004,10,ppb,150.0
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Bromochloroacetic acid,1.35,0.02,0,ppb,67.5
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Bromodichloromethane,0.27,0.06,0,ppb,4.500000000000001
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Bromoform,1.54,0.5,0,ppb,3.08
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Dibromoacetic acid,5.05,0.04,0,ppb,126.25
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Dibromochloromethane,1.12,0.1,0,ppb,11.200000000000001
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Haloacetic acids (HAA5)†,5.05,0.1,60,ppb,50.49999999999999
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Nitrate and nitrite,5.5,0.14,10,ppm,39.285714285714285
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Radium combined (-226 &amp; -228),0.72,0.05,5,pCi/L,14.399999999999999
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Total trihalomethanes (TTHMs)†,3.08,0.15,80,ppb,20.533333333333335
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Uranium,9.72,0.43,20,pCi/L,22.6046511627907
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Barium,60.0,700.0,2000,ppb,0.08571428571428572
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Chloroform,0.056,0.4,0,ppb,0.13999999999999999
WY,Burns,82001.0,Burns Board Of Public Utilities,922,Selenium,0.6,30.0,50,ppb,0.02
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Nitrate and nitrite,1.05,0.14,10,ppm,7.5
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Radium combined (-226 &amp; -228),0.6,0.05,5,pCi/L,11.999999999999998
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Uranium,5.16,0.43,20,pCi/L,12.0
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Bromoform,0.21,0.5,0,ppb,0.42
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Selenium,3.0,30.0,50,ppb,0.1
WY,Cheyenne,82001.0,Carpenter Water & Sewer District,94,Total trihalomethanes (TTHMs)†,0.3,0.15,80,ppb,2.0
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Arsenic,0.125,0.004,10,ppb,31.25
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Chromium (hexavalent),0.0442,0.02,0,ppb,2.21
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Haloacetic acids (HAA5)†,24.2,0.1,60,ppb,241.99999999999997
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Haloacetic acids (HAA9)†,27.5,0.06,0,ppb,458.33333333333337
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Nitrate,0.582,0.14,10,ppm,4.157142857142857
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Nitrate and nitrite,0.614,0.14,10,ppm,4.385714285714285
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Radium combined (-226 &amp; -228),0.96,0.05,5,pCi/L,19.2
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Total trihalomethanes (TTHMs)†,37.9,0.15,80,ppb,252.66666666666666
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Uranium,1.07,0.43,20,pCi/L,2.488372093023256
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Barium,37.5,700.0,2000,ppb,0.05357142857142857
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Chlorate,4.92,210.0,0,ppb,0.023428571428571427
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Manganese,8.21,100.0,0,ppb,0.0821
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Strontium,0.144,1500.0,0,ppb,9.599999999999999e-05
WY,Cheyenne,82001.0,Cheyenne Board Public Utilities,58182,Vanadium,1.49,21.0,0,ppb,0.07095238095238095
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Arsenic,4.0,0.004,10,ppb,1000.0
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Bromoform,4.54,0.5,0,ppb,9.08
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Dibromoacetic acid,2.85,0.04,0,ppb,71.25
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Dibromochloromethane,0.901,0.1,0,ppb,9.01
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Haloacetic acids (HAA5)†,2.85,0.1,60,ppb,28.5
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Nitrate and nitrite,5.46,0.14,10,ppm,38.99999999999999
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Radium combined (-226 &amp; -228),1.67,0.05,5,pCi/L,33.4
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Total trihalomethanes (TTHMs)†,6.11,0.15,80,ppb,40.733333333333334
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Uranium,5.91,0.43,20,pCi/L,13.74418604651163
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Barium,200.0,700.0,2000,ppb,0.2857142857142857
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Bromodichloromethane,0.0857,0.06,0,ppb,1.4283333333333335
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Chloroform,0.114,0.4,0,ppb,0.285
WY,Cheyenne,82001.0,Hide-a-way Mobile Village,76,Selenium,2.5,30.0,50,ppb,0.08333333333333333
WY,Modesto,82001.0,Highland Ranch Estates,50,Nitrate,3.38,0.14,10,ppm,24.14285714285714
WY,Modesto,82001.0,Highland Ranch Estates,50,Nitrate and nitrite,3.38,0.14,10,ppm,24.14285714285714
WY,Modesto,82001.0,Highland Ranch Estates,50,Uranium,6.7,0.43,20,pCi/L,15.58139534883721
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Arsenic,3.0,0.004,10,ppb,750.0
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Nitrate and nitrite,5.4,0.14,10,ppm,38.57142857142857
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Radium combined (-226 &amp; -228),1.5,0.05,5,pCi/L,30.0
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Uranium,5.36,0.43,20,pCi/L,12.465116279069768
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Barium,100.0,700.0,2000,ppb,0.14285714285714285
WY,Cheyenne,82001.0,Miller Lower Mobile Home Park,30,Selenium,3.0,30.0,50,ppb,0.1
WY,Ft. Collins,82001.0,Kronber,75,Arsenic,4.0,0.004,10,ppb,1000.0
WY,Ft. Collins,82001.0,Kronber,75,Nitrate,2.4,0.14,10,ppm,17.142857142857142
WY,Ft. Collins,82001.0,Kronber,75,Nitrate and nitrite,2.15,0.14,10,ppm,15.357142857142856
WY,Ft. Collins,82001.0,Kronber,75,Uranium,6.5,0.43,20,pCi/L,15.116279069767442
WY,Ft. Collins,82001.0,Kronber,75,Radium combined (-226 &amp; -228),0.1,0.05,5,pCi/L,2.0
WY,Ft. Collins,82001.0,Kronber,75,Selenium,1.0,30.0,50,ppb,0.03333333333333333
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Bromochloroacetic acid,0.25,0.02,0,ppb,12.5
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Bromodichloromethane,0.25,0.06,0,ppb,4.166666666666667
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Bromoform,1.53,0.5,0,ppb,3.06
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Dibromoacetic acid,1.84,0.04,0,ppb,46.0
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Dibromochloromethane,0.873,0.1,0,ppb,8.729999999999999
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Haloacetic acids (HAA5)†,2.39,0.1,60,ppb,23.9
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Nitrate,8.58,0.14,10,ppm,61.28571428571428
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Nitrate and nitrite,6.44,0.14,10,ppm,46.0
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Radium combined (-226 &amp; -228),1.33,0.05,5,pCi/L,26.6
WY,Pine Bluffs,82001.0,Pine Bluffs Town Of,1186,Total trihalomethanes (TTHMs)†,15.3,0.15,80,ppb,102.00000000000001
