Utility name,City,People served,Zip
Restway Travel Park,Cheyenne,Population served: 76,82001
"Albin, Town Of",Albin,Population served: 181,82001
Burns Board Of Public Utilities,Burns,Population served: 922,82001
Carpenter Water & Sewer District,Cheyenne,Population served: 94,82001
Cheyenne Board Public Utilities,Cheyenne,"Population served: 58,182",82001
Evergreen Mobile Home Park,Cheyenne,Population served: 50,82001
Hide-a-way Mobile Village,Cheyenne,Population served: 76,82001
Highland Ranch Estates,Modesto,Population served: 50,82001
Miller Lower Mobile Home Park,Cheyenne,Population served: 30,82001
Kronber,Ft. Collins,Population served: 75,82001
Orchard Valley Water Company,Cheyenne,Population served: 264,82001
"Pine Bluffs, Town Of",Pine Bluffs,"Population served: 1,186",82001
South Cheyenne Water and Sewer District,Cheyenne,"Population served: 10,000",82001
"U.s. Air Force, F.e. Warren AFB",F.e. Warren AFB,"Population served: 5,500",82001
West Winds,Cheyenne,Population served: 663,82001
Winchester Hills,Cheyenne,"Population served: 1,057",82001
Antelope Ridge Hoa,Laramie,Population served: 70,82051
Centennial Water and Sewer,Centennial,Population served: 150,82051
City of Laramie,Laramie,"Population served: 30,899",82051
Country Meadow Estates,Laramie,Population served: 375,82051
Nine-mile Water & Sewer District,Laramie,Population served: 180,82051
"Rock River, Town Of",Rock River,Population served: 245,82051
Seven Mile Water & Sewer District,Laramie,Population served: 60,82051
South Laramie W&s District,Laramie,Population served: 490,82051
Sunny Meadows Village,Laramie,Population served: 485,82051
City Of Laramie Wy Technical Institute,Laramie,Population served: 775,82051
City of Fort Collins,"Fort Collins, CO","Population served:124,262",82063
City of Loveland,"Loveland, CO","Population served:75,840",82063
Ft Collins Loveland WD,"Fort Collins, CO","Population served:36,544",82063
CSU Main and West Housing Campus,"Fort Collins, CO","Population served:27,375",82063
City of Greeley,"Greeley, CO","Population served:108,000",82082
City of Evans,"Evans, CO","Population served:19,369",82082
Windsor,"Windsor, CO","Population served:13,500",82082
North Weld County WD,"Lucerne, CO","Population served:10,640",82082
"Firestone, Town of","Firestone, CO","Population served:17,792",82082
"Johnstown, Town of","Johnstown, CO","Population served:17,322",82082
"Frederick, Town of","Frederick, CO","Population served:8,972",82082
"Ft. Lupton, City of","Fort Lupton, CO","Population served:8,100",82082
"Baggs, Town Of",Baggs,Population served: 350,82083
"Dixon, Town Of",Baggs,Population served: 92,82083
"Elk Mountain, Town Of",Elk Mountain,Population served: 191,82083
"Encampment, Town Of",Encampment,Population served: 450,82083
"Hanna, Town Of",,Population served: 841,82083
"Medicine Bow, Town Of",Medicine Bow,Population served: 282,82083
"Rawlins Water Supply, City Of",Rawlins,"Population served: 9,749",82083
"Saratoga, Town Of",Saratoga,"Population served: 1,760",82083
Sierra Madre Jpb,Riverside,Population served: 130,82083
"Sinclair, Town Of",Sinclair,Population served: 433,82083
Big Valley & Crossed Arrows Imp District,Meeteetse,Population served: 35,82190
"Cody, City Of",Cody,"Population served: 9,836",82190
Green Acres Mobile Home Park,Powell,Population served: 375,82190
Juby`s Mobile Home Park,Powell,Population served: 300,82190
"Meeteetse, Town Of",Meeteetse,Population served: 327,82190
Northwest Rural Water District,Cody,"Population served: 5,998",82190
"Powell, City Of",Powell,"Population served: 6,700",82190
Rivers Bend Trailer Court,Powell,Population served: 100,82190
Shoshone Municipal Pipeline,Cody,Population served: 25,82190
Ynp-mammoth Hot Springs,Yellowstone National Park,"Population served: 2,600",82190
"Chugwater, Town Of",Chugwater,Population served: 200,82201
"Glendo, Town Of",Glendo,Population served: 229,82201
"Guernsey, Town Of",Guernsey,"Population served: 1,157",82201
"Hartville, Town Of",Guernsey,Population served: 62,82201
"Wheatland, Town Of",Wheatland,"Population served: 3,627",82201
"Y-o Investments, Inc.",Jackson,Population served: 180,82201
Cottonwood Acres,Lingle,Population served: 96,82210
Dillman Estates,Torrington,Population served: 100,82210
"Fort Laramie, Town Of",Fort Laramie,Population served: 199,82210
"La Grange, Town Of",La Grange,Population served: 448,82210
"Lingle, Town Of",Lingle,Population served: 486,82210
Potlatch Trailer Court,Torrington,Population served: 70,82210
South Torrington Water District,Torrington,Population served: 450,82210
Stone Creek,Torrington,Population served: 78,82210
Torrington Municipal Ws,Torrington,"Population served: 6,798",82210
"Yoder, Town Of",Yoder,Population served: 158,82210
Lance Creek Water District,Lance Creek,Population served: 45,82222
"Lusk, Town Of",Lusk,"Population served: 1,576",82222
"Manville, Town Of",Manville,Population served: 52,82222
Douglas Koacg & Pine Meadows Mobile Home Park,Douglas,Population served: 165,82224
"Douglas, City Of",Douglas,"Population served: 6,120",82224
Fairway Estates,Douglas,Population served: 133,82224
"Glenrock, Town Of",Glenrock,"Population served: 2,466",82224
Ridgewater Improvement District,Douglas,Population served: 218,82224
"Rolling Hills, Town Of",Rolling Hills,Population served: 450,82224
Sundance Meadows Special Imp District (smsid,Douglas,Population served: 50,82224
A & J Mobile Home Park,Riverton,Population served: 100,82310
B&k Mobile Home Park,Riverton,Population served: 200,82310
City of Riverton,Riverton,"Population served: 10,001",82310
Cozy Mobile Home Park,Riverton,Population served: 200,82310
"Dubois, Town Of",Dubois,Population served: 971,82310
Farview Water and Sewer District,Riverton,Population served: 60,82310
First Fike Subdivision,Riverton,Population served: 150,82310
Gardens North Home Owners Association,Riverton,Population served: 300,82310
"Hudson, Town Of",Riverton,Population served: 460,82310
Jeffrey City Water & Sewer District,Jeffrey City,Population served: 59,82310
Juniper Park Water Association,Riverton,Population served: 42,82310
"Lander, City Of",Lander,"Population served: 7,500",82310
Mountain View Acres,Riverton,Population served: 165,82310
"Pavillion, Town Of",Pavillion,Population served: 240,82310
Raintree Estates,Riverton,Population served: 75,82310
Redd Fox Park Hoa,Riverton,Population served: 50,82310
Second Fike Subdivision,Riverton,Population served: 34,82310
"Shoshoni, Town Of",Shoshoni,Population served: 650,82310
Spencer Homesite Water Association,Riverton,Population served: 40,82310
Sunridge Estates,Riverton,Population served: 220,82310
Warm Springs Water District,Dubois,Population served: 52,82310
"Bairoil, Town Of",Bairoil,Population served: 90,82322
City of Green River,Green River,"Population served: 10,500",82322
City of Rock Springs,Rock Springs,"Population served: 24,000",82322
Clearview I&s District,Rock Springs,Population served: 930,82322
Desert Trails Mhc,Green River,Population served: 238,82322
Farson Mobile Home Court,Rock Springs,Population served: 46,82322
Foothills Village Mobile Home Park,Rock Springs,Population served: 450,82322
"Granger, Town Of",Granger,Population served: 139,82322
Horizon Mobile Home Park,Rock Springs,Population served: 309,82322
Jamestown-rio Vista W&s District,Green River,Population served: 560,82322
Lewis Mobile Home Park,Rock Springs,Population served: 370,82322
"Little America Hotels & Resorts, Inc- Wy",Little America,"Population served: 2,000",82322
Mobile Corrals/stalls Court,Rock Springs,Population served: 300,82322
Pioneer Mobile Home Park,Green River,"Population served: 1,500",82322
Point Of Rocks Mercantile,Point Of Rocks,Population served: 150,82322
Rock Springs/green River Jpb,Green River,Population served: 25,82322
Skyline Village Mobile Home Pk,Rock Springs,Population served: 650,82322
"Superior, Town Of",Superior,Population served: 356,82322
Ten Mile Water and Sewer District,Rock Springs,Population served: 305,82322
Volcic Mobile Home Park,Rock Springs,Population served: 270,82322
W Bar K Mobile Home Park,Rock Springs,Population served: 110,82322
"Wamsutter, Town Of",Wamsutter,Population served: 250,82322
Western Hills Mobile Home Park,Rock Springs,Population served: 450,82322
White Mountain W&s District,Rock Springs,"Population served: 3,000",82322
Big Horn Regional Jpb,Worland,Population served: 25,82401
,,Population served: 0,82401
